Região;SiglaUF;UF;CódigoIBGE;Município;Crime;Mês;Data;Quantidade
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;01;01/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;02;02/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;03;03/2014;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;04;04/2014;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;05;05/2014;8
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;06;06/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;07;07/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;08;08/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;09;09/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;10/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;11/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;12/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;01;01/2014;154
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;02;02/2014;120
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;03;03/2014;112
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;04;04/2014;129
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;05;05/2014;122
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;06;06/2014;96
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;07;07/2014;141
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;08;08/2014;119
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;09;09/2014;130
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;10/2014;152
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;11/2014;119
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;12/2014;106
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;01;01/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;02;02/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;03;03/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;06;06/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;07;07/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;08;08/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;09;09/2014;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;10/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;12/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;01;01/2014;57
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;02;02/2014;55
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;03;03/2014;63
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;04;04/2014;42
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;05;05/2014;25
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;06;06/2014;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;07;07/2014;18
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;08;08/2014;34
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;09;09/2014;35
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;10/2014;28
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;11/2014;34
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;12;12/2014;23
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);01;01/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);03;03/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);05;05/2014;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;01;01/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;02;02/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;03;03/2014;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;04;04/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;05;05/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;06;06/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;07;07/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;08;08/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;09;09/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;10;10/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;11;11/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;12;12/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;01;01/2014;32
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;02;02/2014;25
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;03;03/2014;36
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;04;04/2014;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;05;05/2014;45
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;06;06/2014;35
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;07;07/2014;17
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;08;08/2014;32
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;09;09/2014;48
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;10;10/2014;33
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;11;11/2014;28
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;12;12/2014;33
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;01;01/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;02;02/2014;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;03;03/2014;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;04;04/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;05;05/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;06;06/2014;7
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;07;07/2014;8
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;08;08/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;09;09/2014;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;10;10/2014;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;11;11/2014;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;12;12/2014;2
