mes;ano;energia;agua;correios;bolsas_auxilios;limpeza;portaria;vigilancia;agua_mineral;motorista;reprografia;inscricoes;aluno_evento;dispensas
janeiro;2017;19181.7;5041.66;38.66;44500;149748.98;0;36887.62;1083.6;16482.12;62.1;0;0;0
fevereiro;2017;35118.33;6663.98;0;57440;41976.55;0;36887.62;595.98;18982.12;299.25;0;0;0
março;2017;40427.86;4061.18;0;102790;43617.2;9599.48;18667.74;866.88;17122.12;352.35;250;0;0
abril;2017;36626.66;4340.74;73.02;102790;43617.2;20570.24;18667.74;602;20112.12;157.95;1200;0;0
maio;2017;41831.68;4061.18;0;102790;56563.36;20570.24;18667.74;559.86;19262.12;319.05;0;720;0
junho;2017;31673.67;5034.82;0;68780;46404.01;20570.24;18667.74;608.02;18712.12;106.2;850;0;0
julho;2017;38177.03;4938.42;22.3;71630;45162.71;20570.24;18667.74;620.06;16972.12;434.1;0;1550;0
agosto;2017;42899.09;2200.66;21.55;105580;46404.04;20570.24;18667.74;602;76002.5;478.05;0;6300;0
setembro;2017;45046.06;4176.86;0;105580;46404.01;20570.24;18667.74;638.12;22318.16;468.9;2080;2740;6850
outubro;2017;43557.83;3829.82;0;105920;46404.01;20570.24;18667.74;589.96;21999.19;191.1;3800;6102;1560
novembro;2017;34007.34;4292.54;0;68410;46404.01;20570.24;18667.74;620.06;22019.58;202.5;4320;700;0
dezembro;2017;NULL;NULL;NULL;21420;NULL;NULL;NULL;NULL;NULL;NULL;2965;NULL;NULL
janeiro;2016;23131.21;588.24;0;10920;31501.39;NULL;32309.52;NULL;21964.4;0;0;0;0
fevereiro;2016;27775.43;3484.22;0;43000;30972.45;NULL;32309.52;NULL;15392.72;0;0;1600;0
março;2016;40838.54;2802.5;0;96320;29986.3;NULL;32309.52;NULL;17162.72;494.7;0;0;0
abril;2016;37658.25;3256.98;0;98520;30646.3;NULL;32309.52;NULL;18372.72;285.75;1765;0;4860
maio;2016;40503.86;2802.5;0;98120;31246.7;NULL;32309.52;NULL;18382.72;145.8;2850;0;360
junho;2016;37487.41;2916.12;0;90640;30965.58;NULL;36887.62;1047.48;18752.72;146.55;1960;11100;400
julho;2016;22562.67;1572.44;139.25;60200;30566.96;NULL;36887.62;529.76;16067.72;29.7;1850;1840;1990
agosto;2016;35378.72;3370.6;0;88600;31558.6;NULL;36887.62;0;18502.72;185.4;3500;5365;0
setembro;2016;39719.48;665.19;44.66;90810;31520.47;NULL;36887.62;993.3;19532.72;163.8;2345;450;1339.79
outubro;2016;39824.48;2066.44;0;91610;31425.11;NULL;36887.62;0;19432.72;211.95;110;1145;7483.52
novembro;2016;40864.09;2165.24;0;90560;31520.47;NULL;36887.62;481.6;22312.12;399.3;0;0;3280
dezembro;2016;30125.56;5153.46;0;26670;13085.39;NULL;36887.62;0;20012.12;534.75;0;0;13795.99
janeiro;2015;18819.35;3160.08;19.3;75020;35149.32;NULL;30114.92;NULL;13691;0;0;NULL;NULL
fevereiro;2015;35473.57;1419.87;0;41240;35010.49;NULL;30114.92;NULL;14951;0;0;NULL;NULL
março;2015;21461.21;1041.58;26.32;41310;35069.04;NULL;30114.92;NULL;14471;NULL;NULL;NULL;NULL
abril;2015;28703.23;653.79;96.46;76070;35527.9;NULL;30114.92;NULL;15851;NULL;NULL;NULL;NULL
maio;2015;41099.32;1071.03;9.15;81050;38424.12;NULL;30114.92;NULL;16571;NULL;1000;NULL;NULL
junho;2015;33088.51;1827.99;32.14;19880;37051.08;NULL;30114.92;NULL;15311;753.3;NULL;NULL;NULL
julho;2015;20739.58;1381.94;0;19880;31406.44;NULL;30114.92;NULL;13811;NULL;NULL;NULL;NULL
agosto;2015;19862.82;1415.51;0;19880;31558.6;NULL;30114.92;NULL;12377.36;NULL;NULL;NULL;NULL
setembro;2015;20265.81;2136.27;0;19880;31472.78;NULL;30114.92;NULL;14399.8;NULL;780;NULL;NULL
outubro;2015;19568.86;4242.57;0;79900;30910.49;NULL;30114.92;NULL;14219.8;NULL;NULL;NULL;NULL
novembro;2015;34449.11;2694.29;0;80360;31558.6;NULL;30114.92;NULL;15589.8;NULL;NULL;NULL;NULL
dezembro;2015;40814.29;3405.07;0;56800;31558.6;NULL;53743.45;NULL;17909.8;NULL;NULL;NULL;NULL
