,Notícia,Link
0,Justiça de SP condena Doria a perder direitos políticos por 4 anos,https://g1.globo.com/sp/sao-paulo/eleicoes/2018/noticia/2018/08/24/justica-de-sp-condena-joao-doria-a-perda-dos-direitos-politicos.ghtml
1,MPE entra com 310 ações para impugnar candidaturas no país,https://oglobo.globo.com/brasil/ministerio-publico-eleitoral-entrou-com-310-acoes-de-impugnacao-em-todo-pais-23007872
2,Caixa facilita o dinheiro para comprar imóvel,https://g1.globo.com/economia/noticia/2018/08/24/caixa-anuncia-reducao-de-juros-do-credito-imobiliario.ghtml
3,Sarampo e pólio: 5 milhões não foram vacinados ,https://g1.globo.com/bemestar/noticia/2018/08/24/falta-uma-semana-para-o-fim-da-campanha-de-vacinacao-contra-o-sarampo-e-a-polio.ghtml
4,Presos mais de 700 suspeitos de homícidio,https://g1.globo.com/politica/noticia/2018/08/24/operacao-cronos-prende-643-homens-suspeitos-de-homicidio-no-pais.ghtml
5,Jungmann critica em RR atuação do governo local (Reprodução),http://cbn.globoradio.globo.com/media/audio/208129/interiorizacao-e-prioridade-para-diluir-crise-na-f.htm
6,RS deve receber 640 venezuelanos em 1 mês,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2018/08/24/ministros-visitam-abrigos-onde-venezuelanos-ficarao-em-canoas-e-esteio.ghtml
7,"Com câncer no cérebro, McCain para tratamento  (Zach Gibson / Getty Images North America / AFP)",https://g1.globo.com/mundo/noticia/2018/08/24/john-mccain-diz-que-suspendera-tratamento-de-cancer.ghtml
8,Beatriz Segall tem alta de hospital em SP,https://g1.globo.com/sp/sao-paulo/noticia/2018/08/24/atriz-beatriz-segall-tem-alta-de-hospital-em-sao-paulo.ghtml
9,"Egito esvazia hotel depois de 
morte misteriosa (Reprodução)",https://oglobo.globo.com/mundo/morte-de-casal-em-hotel-no-egito-provoca-retirada-de-301-hospedes-23007318
10,Incêndio florestal atinge arredores de Berlim,https://g1.globo.com/mundo/noticia/2018/08/24/incendio-florestal-atinge-arredores-de-berlim-e-forca-retirada-de-mais-de-500-moradores.ghtml
11,Empresa alega que pediu para grama do Maraca ser 'poupada' (Divulgação),https://globoesporte.globo.com/rj/futebol/noticia/empresa-alega-pedido-a-clubes-para-pouparem-gramado-do-maracana-antes-durante-e-depois-de-jogos.ghtml
12,Troca menos de 24 horas após reclamação de Diego do Fla,https://sportv.globo.com/site/programas/troca-de-passes/noticia/diego-avalia-gramado-do-maracana-como-o-pior-da-serie-a-ja-nao-e-de-hoje.ghtml
13,"Destaque na escalada do Inter, Patrick tem sondagem do Fener",https://globoesporte.globo.com/rs/futebol/noticia/fenerbahce-busca-reposicao-apos-saidas-de-souza-e-giuliano-e-sonda-patrick-do-inter.ghtml
14,Líder São Paulo abre série em que teve seu pior desempenho,https://globoesporte.globo.com/futebol/times/sao-paulo/noticia/sao-paulo-precisa-mudar-retrospecto-de-pior-sequencia-no-brasileirao-para-se-manter-na-ponta-da-tabela.ghtml
15,Isaquias é tri mundial (Helena Rebello),https://globoesporte.globo.com/canoagem/noticia/isaquias-queiroz-e-tricampeao-mundial-no-c1-500m-em-portugal.ghtml
16,'Sol': Rochelle diz que Edgar e Roberval são irmãos de pai e mãe (TV Globo),https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/rochelle-revela-a-karen-que-edgar-e-roberval-sao-irmaos-de-pai-e-mae.ghtml
17,Verdade deixa Edgar revoltado,https://extra.globo.com/tv-e-lazer/telinha/segundo-sol-edgar-descobre-que-filho-de-zefa-transtornado-destroi-casa-23005865.html
18,"Após vingança, Laureta é presa",https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2018/08/segundo-sol-apos-vinganca-de-luzia-e-roberval-laureta-sera-presa.html
19,Celine se encanta com Elmo em 'Tempo' (Globo),https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/miss-celine-fica-encantada-com-elmo.ghtml
20,"Em 'Orgulho', Camilo pressiona Julieta para descobrir segredo (Reprodução)",https://gshow.globo.com/novelas/orgulho-e-paixao/vem-por-ai/noticia/camilo-escuta-conversa-e-pressiona-julieta-o-que-preciso-saber.ghtml
21,Josephine cai de precipício,https://extra.globo.com/tv-e-lazer/telinha/josephine-cai-de-precipicio-no-fim-orgulho-paixao-antes-tenta-acabar-com-cecilia-23006040.html
22,"Novo Aventador terá somente 900 unidades e custará R$ 1,6 mi (Lamborghini/Divulgação)",https://g1.globo.com/carros/noticia/2018/08/24/lamborghini-revela-aventador-svj-de-780-cavalos.ghtml
23,Corpo de jovem será exumado para apurar morte após festa (Reprodução/Divulgação),https://g1.globo.com/sc/santa-catarina/noticia/2018/08/24/corpo-de-garota-de-16-anos-que-morreu-apos-festa-em-sc-e-exumado-apos-pedido-da-policia-civil.ghtml
24,Beto Barbosa revela câncer e se prepara para 1ª quimioterapia (reprodução),https://extra.globo.com/famosos/beto-barbosa-se-prepara-para-primeira-sessao-de-quimioterapia-confiante-23007844.html
25,"Prefeito de Mongaguá, litoral de SP, tem casa invadida, e esposa e filhos são amarrados (Departamento Penal de Nova York via AP)",https://g1.globo.com/sp/santos-regiao/noticia/2018/08/24/prefeito-de-mongagua-tem-a-casa-invadida-e-familia-e-amarrada-durante-assalto.ghtml
26,"Homem confessa que atropelou e matou a mulher, diz polícia (Reprodução/Facebook)",https://g1.globo.com/ba/bahia/noticia/2018/08/24/homem-preso-por-matar-companheira-atropelada-na-ba-confessa-crime-e-alega-que-perdeu-a-cabeca-apos-discussao.ghtml
27,Imagem é de porta ou praia? Desvende novo mistério da Internet (Reprodução/Twitter),https://www.techtudo.com.br/noticias/2018/08/porta-ou-praia-entenda-o-novo-misterio-da-internet.ghtml
28,"Mãe de XXXTentacion, assassinado nos EUA, revela que filho do rapper será um menino (Reprodução)",https://revistamonet.globo.com/Noticias/noticia/2018/08/mae-mostra-barriga-de-gravida-de-namorada-de-rapper-assassinado-xxxtentacion-vai-ser-menino.html
29,"Menino que forjou bilhete 'criou' feriado para ver série, diz mãe (Reprodução)",https://g1.globo.com/sp/bauru-marilia/noticia/2018/08/24/menino-que-fez-bilhete-em-nome-da-professora-inventou-feriado-para-assistir-serie-diz-mae.ghtml
30,Funeral de Aretha Franklin terá Stevie Wonder no dia 31  (Amy Sancetta/AP/Arquivo),https://g1.globo.com/pop-arte/musica/noticia/2018/08/24/funeral-de-aretha-franklin-tera-stevie-wonder-e-jennifer-hudson-no-dia-31-de-agosto.ghtml
31,mais notícias,https://g1.globo.com/
32,Fla-Flu e dupla de BH dominam a seleção da rodada #20 no Cartola (Infografia),https://globoesporte.globo.com/cartola-fc/noticia/cariocas-e-mineiros-dominam-selecao-da-rodada-20-time-volta-ao-4-4-2.ghtml
33,"Ex-Palmeiras e Goiás, atacante Eryk fecha com o Botafogo  (Cesar Greco/Ag Palmeiras)",https://globoesporte.globo.com/futebol/times/botafogo/noticia/erik-assina-com-o-botafogo-ate-o-fim-de-2018-e-sera-apresentado-nesta-sexta.ghtml
34,Paixão pela Seleção de 82 explica 'furacão' saudita em janela (Editoria de Arte),https://globoesporte.globo.com/futebol/futebol-internacional/noticia/janela-da-arabia-fecha-apos-furacao-saudita-passar-pelo-futebol-brasileiro.ghtml
35,"'Rei de Spa', Raikkonen fica com o melhor tempo nos treinos; veja como foi (Divulgação)",https://globoesporte.globo.com/motor/formula-1/noticia/rei-de-spa-kimi-raikkonen-fica-com-o-melhor-tempo-nos-treinos-de-sexta-feira.ghtml
36,"Após especulações sobre rivalidade, Ney e Mbappé se divertem (Reprodução)",https://extra.globo.com/esporte/cada-vez-mais-entrosados-neymar-mbappe-se-divertem-em-treino-23007438.html
37,'Redação': Barreto garante o 'fico' de Vinicius Jr. no Real (Site oficial do Real Madrid),https://sportv.globo.com/site/programas/redacao-sportv/noticia/barreto-informa-fico-de-vinicius-junior-no-real-madrid-onde-joia-e-centro-das-atencoes.ghtml
38,"Copa com sedes em Portugal, Espanha e Marrocos seria a 1ª em dois continentes",https://globoesporte.globo.com/futebol/copa-do-mundo/noticia/marrocos-pode-ter-candidatura-com-portugal-e-espanha-para-2030-diz-emissora.ghtml
39,Adriano Imperador é o novo jogador lendário do PES 2019; confira (Reprodução),https://www.techtudo.com.br/noticias/2018/08/pes-2019-adriano-e-craques-da-inter-de-milao-sao-as-novas-lendas.ghtml
40,"Leoa é rival mais forte em 9 anos de Cyborg, indicam apostas (Info Esporte)",https://sportv.globo.com/site/combate/noticia/bolsas-de-apostas-mostra-amanda-como-rival-mais-proxima-de-cyborg-desde-2009.ghtml
41,mais esportes,https://globoesporte.globo.com/
42,"'Não quero transformar os meus filhos em mito', diz Thais Fersoza (Danilo Borges/ Ed. Globo)",https://revistaquem.globo.com/Capa/noticia/2018/08/thais-fersoza-pessoas-se-identificam-com-minha-historia.html
43,"Carolinie posta foto, seguidora critica e ela rebate: 'Agressividade' (Rael Barja)",https://revistaglamour.globo.com/Celebridades/noticia/2018/08/caroline-figueiredo-debate-com-seguidora-que-atacou-seu-corpo-odio-e-agressividade.html
44,"Dias após ter a 2ª filha, Bella Falconi exibe na web barriga inchada (Divulgação)",https://vogue.globo.com/moda/gente/noticia/2018/08/bella-falconi-exibe-barriga-pos-parto.html
45,"Aos 51 anos, Cláudia Raia não descarta ser mãe de novo: 'Passa pela minha cabeça' (Tato Belline )",https://blogs.oglobo.globo.com/marina-caruso/post/claudia-raia-aos-51-anos-nao-descarta-ser-mae-de-novo-passa-pela-cabeca.html
46,Débora Nascimento e Loreto mostram sorrisão de Bella (Reprodução/Instagram),https://revistaquem.globo.com/QUEM-News/noticia/2018/08/debora-nascimento-compartilha-foto-em-familia.html
47,AO VIVO: Ana Clara comenta tudo o que rola no 'Vídeo Show' (Instagram/Reprodução),https://gshow.globo.com/programas/video-show/
48,"Produtor de 'Velozes e Furiosos', filho de Clint  Eastwood diz estar fazendo 'muito sexo' (extra)",https://revistamonet.globo.com/Celebridades/noticia/2018/08/filho-de-clint-eastwood-deixa-modestia-de-lado-e-diz-ter-sexo-vontade.html
49,Nova novela das 21h terá noiva deixada no altar e muito mistério (GLOBO/Estevam Avellar ),https://gshow.globo.com/novelas/o-setimo-guardiao/noticia/o-setimo-guardiao-entenda-a-trama-da-proxima-novela-das-9.ghtml
