Títulos,Links
"Com um expulso, São Paulo busca empate com Flu (Marcos Ribolli)",https://globoesporte.globo.com/sp/futebol/brasileirao-serie-a/jogo/02-09-2018/sao-paulo-fluminense.ghtml
Cereto: São Paulo deve comemorar o empate,https://sportv.globo.com/site/programas/troca-de-passes/noticia/cereto-diz-que-sao-paulo-deve-comemorar-empate-no-morumbi-fluminense-tinha-que-se-atirar-mais.ghtml
Chape diminui vantagem do Palmeiras; SIGA (Eduardo Florão),https://globoesporte.globo.com/sc/futebol/brasileirao-serie-a/jogo/02-09-2018/chapecoense-palmeiras.ghtml
Confira como fica a tabela do Brasileirão,https://globoesporte.globo.com/futebol/brasileirao-serie-a/
"Engessado, Fla vive manhã para esquecer; análise (André Durão / GloboEsporte.com)",https://globoesporte.globo.com/futebol/times/flamengo/noticia/engessado-previsivel-e-cansado-fla-vive-manha-para-esquecer-diante-de-maracana-lotado.ghtml
"Lisca: 'Vaiar Paquetá?, mandem para o Ceará'",https://globoesporte.globo.com/ce/futebol/times/ceara/noticia/vaiar-o-paqueta-se-nao-quiser-pode-mandar-para-o-ceara-brinca-lisca.ghtml
"RJ: incêndio atinge o Museu Nacional, na Quinta da Boa Vista (Reprodução/GloboNews)",https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/02/incendio-atinge-a-quinta-da-boa-vista-rio.ghtml
Comandante orienta PM a ser 'implacável' com bandidos no Rio (divulgação),https://extra.globo.com/casos-de-policia/comandante-da-pm-orienta-policiais-serem-implacaveis-contra-bandidos-23032381.html
PM do Bope é enterrado no Rio; é o 67º morto no estado,https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/02/pm-do-bope-e-enterrado-no-rio.ghtml
Trio foge com refém após roubo a loja na Arena do Corinthians,https://g1.globo.com/sp/sao-paulo/noticia/2018/09/02/ladroes-roubam-loja-de-comida-na-arena-corinthians-e-fogem-com-funcionarios-refens.ghtml
Karola vai à TV dizer que não apoiou farsa (Reprodução),https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/karola-diz-na-tv-que-nunca-apoiou-a-falsa-morte-de-beto.ghtml
Brichta explode na trama: 'O público quer o Remy vivo',https://extra.globo.com/tv-e-lazer/prestes-morrer-em-segundo-sol-vladimir-brichta-explode-na-trama-publico-quer-ele-vivo-23030035.html
Elmo ataca Waleska em 'Tempo': 'Sempre teve vergonha'  (TV Globo),https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/elmo-enfrenta-waleska-voce-sempre-teve-vergonha-de-mim.ghtml
'Orgulho': Camilo se passa de padre para a confissão de Julieta (TV Globo),https://gshow.globo.com/novelas/orgulho-e-paixao/vem-por-ai/noticia/camilo-se-passa-por-padre-para-ouvir-confissao-de-julieta.ghtml
Confira o resumo da semana,https://gshow.globo.com/novelas/orgulho-e-paixao/resumo/20180903-a-20180909-47e698691abe43118d78c2e7e86d9f78.ghtml
"Ponte desaba no Tocantins, e carreta com gado cai em rio (João Carlos Lopes/Defesa Civil)",https://g1.globo.com/to/tocantins/noticia/2018/09/02/ponte-desaba-e-carreta-que-transportava-gado-cai-em-rio-no-to-veja-video.ghtml
MP analisará vídeo de candidato cantando com homens armados (Reprodução),https://extra.globo.com/casos-de-policia/mp-vai-analisar-video-de-mc-candidato-cantando-em-baile-com-homens-armados-23032282.html
A 'guerra civil' na Igreja que pode abalar o papado de Francisco (divulgação),https://g1.globo.com/mundo/noticia/2018/09/02/a-guerra-civil-na-igreja-catolica-que-pode-abalar-pontificado-do-papa-francisco.ghtml
Mulher dá à luz em banheiro de hospital e foge deixando a criança em latão de lixo (Reprodução),https://g1.globo.com/se/sergipe/noticia/2018/09/02/mulher-tem-bebe-em-banheiro-de-hospital-e-foge-deixando-a-crianca-dentro-de-latao-de-lixo.ghtml
'Zerar' configurações faz celular Android ficar mais rápido? (Reprodução/G1),https://g1.globo.com/economia/tecnologia/blog/ronaldo-prass/post/2018/09/02/android-redefinir-as-configuracoes-originais-de-fabrica-deixa-o-celular-mais-rapido.ghtml
Site mostra como vai ser seu bebê; faça o teste e descubra (Reprodução/Pond5),https://www.techtudo.com.br/dicas-e-tutoriais/2018/09/como-sera-meu-filho-descubra-com-o-make-me-babies.ghtml
Câmera 'espiã' vigia sua casa até no escuro e mostra tudo no celular; veja os detalhes (Reprodução),https://www.techtudo.com.br/noticias/2018/09/lenovo-aposta-em-lampada-tomada-e-camera-para-deixar-a-casa-inteligente-ifa2018.ghtml
"Webdesigner sumido há 4 dias teria sido visto no Centro do Rio

 (Reprodução)",https://oglobo.globo.com/rio/webdesigner-desaparecido-ha-quatro-dias-teria-sido-visto-no-centro-do-rio-23032031
"'Em êxtase', diz mãe que teve bebê sem romper a bolsa em BH (Andressa Cassetti/Felice Filmes)",https://g1.globo.com/mg/minas-gerais/noticia/2018/09/02/maravilhoso-demais-em-extase-diz-mae-que-deu-a-luz-bebe-empelicado-na-porta-de-maternidade-em-bh.ghtml
mais notícias,https://g1.globo.com/
"Após ser xingado por fãs, Lewis solta verbo: 'Ninho de cobras' (Dan Istitene/Getty Images)",https://globoesporte.globo.com/motor/formula-1/noticia/fas-em-monza-gritam-f-hamilton-piloto-se-ve-em-meio-a-ninho-de-cobras.ghtml
Tite convoca ex-São Paulo Militão na vaga do cortado Fagner (divulgação),https://globoesporte.globo.com/futebol/selecao-brasileira/noticia/militao-e-convocado-para-amistosos-do-brasil-na-vaga-de-fagner-cortado.ghtml
Filho de CR7 estreia com quatro gols no Sub-9 da Juventus (Reprodução / Twitter),https://globoesporte.globo.com/blogs/brasil-mundial-fc/post/2018/09/02/filho-de-cristiano-ronaldo-estreia-com-quatro-gols-no-sub-9-da-juventus.ghtml
Fla terá que pagar 'multa' de R$ 1 milhão ao Inter por escalar Réver no primeiro turno (Alisson Francisco/NSC TV),https://globoesporte.globo.com/futebol/times/flamengo/noticia/flamengo-deve-r-1-milhao-ao-inter-rival-da-proxima-quarta-feira-por-escalar-rever-no-primeiro-turno.ghtml
Atlético-PR engata a quarta vitória seguida e já mira Libertadores (Estadão Conteúdo),https://globoesporte.globo.com/pr/futebol/brasileirao-serie-a/jogo/02-09-2018/atletico-pr-bahia.ghtml
"Sport vence o Paraná, segue no Z-4, mas pode sair no próximo jogo (Marlon Costa (Pernambuco Press))",https://globoesporte.globo.com/pe/futebol/brasileirao-serie-a/jogo/02-09-2018/sport-parana.ghtml
"Campo da Arena volta a ter problemas, e Renato critica: 'Nunca vi desta forma' (Marcos Ribolli)",https://globoesporte.globo.com/rs/futebol/times/gremio/noticia/campo-da-arena-volta-a-ter-problemas-e-renato-criticanunca-vi-desta-forma.ghtml
"Barça sai atrás, mas faz 8 no Huesca com show de Messi e Alba (REUTERS/Albert Gea)",https://globoesporte.globo.com/futebol/futebol-internacional/jogo/02-09-2018/barcelona-huesca.ghtml
'Tucano' Richarlison dá moral a Pedro e quer dancinha pela Seleção (Reprodução),https://globoesporte.globo.com/programas/esporte-espetacular/noticia/sai-queixada-entra-tucano-richarlison-apoia-pedro-e-planeja-danca-pela-selecao.ghtml
mais esportes,https://globoesporte.globo.com/
Marquezine cruza red carpet em Veneza com look de fios de ouro (Reprodução Instagram),https://vogue.globo.com/beleza/gente/noticia/2018/09/bruna-marquezine-usa-look-com-fios-de-ouro-de-24-quilates-entrelacados-com-seda.html
