;[1;
0;PGR denuncia Roberto Jefferson, Cristiane e mais 24 por fraudes;https://oglobo.globo.com/brasil/pgr-denuncia-jefferson-cristiane-brasil-paulinho-da-forca-outros-23-por-fraudes-no-ministerio-do-trabalho-23015073
1;Moro condena duas filhas de Paulo Roberto Costa a pena alternativa;https://g1.globo.com/politica/blog/matheus-leitao/post/2018/08/27/moro-suspende-acao-contra-paulo-roberto-costa-mas-condena-filhas-do-ex-diretor-a-servicos-comunitarios.ghtml
2;Sete estados têm chapa ao Senado com parentes;https://g1.globo.com/politica/eleicoes/2018/eleicao-em-numeros/noticia/2018/08/27/politicos-levam-irmaos-filho-mulher-e-ate-mae-como-suplentes-em-chapas-para-o-senado.ghtml
3;Cármen fecha pauta sem prisão em 2º grau;https://g1.globo.com/politica/blog/valdo-cruz/post/2018/08/27/carmen-lucia-manda-avisar-que-sua-pauta-esta-fechada-e-nao-inclui-prisao-apos-segunda-instancia.ghtml
4;Facebook retira 'santinhos' com números falsos;https://epoca.globo.com/cristina-tardaguila/facebook-remove-santinhos-falsos-mas-whatsapp-nada-faz-fique-atento-23014519
5;Economista reforça ideia de imposto único ;https://epocanegocios.globo.com/Economia/noticia/2018/08/quem-e-o-economista-que-faz-cabeca-de-candidatos-nas-eleicoes-com-ideia-de-um-imposto-unico.html
6;Luta política de Marielle motivou crime, diz polícia  (Reprodução/ TV Globo);https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/08/27/atuacao-politica-de-marielle-ajudou-a-motivar-o-crime-diz-delegado.ghtml
7;RJ só esclarece 3 de 13 mortes de políticos;https://oglobo.globo.com/brasil/de-13-mortes-de-politicos-no-rio-so-tres-foram-esclarecidas-pela-policia-23013310
8;EUA: bandeira é erguida antes do adeus a McCain (Mandel Ngan/ AFP);https://g1.globo.com/mundo/noticia/2018/08/27/bandeira-americana-volta-a-ser-hasteada-na-casa-branca-menos-de-48-horas-apos-morte-de-john-mccain.ghtml
9;Vaticano muda declaração do Papa sobre gays (Gregorio Borgia/AP);https://g1.globo.com/mundo/noticia/2018/08/27/vaticano-muda-declaracao-do-papa-sobre-ajuda-psiquiatrica-a-crianca-que-de-sinal-de-ser-gay.ghtml
10;Bote surpreende praia na Espanha com imigrantes (Reprodução);https://g1.globo.com/mundo/noticia/2018/08/27/chegada-de-bote-com-dezenas-de-imigrantes-surpreende-banhistas-em-praia-da-espanha-veja-video.ghtml
11;Manchester United encara o Tottenham pelo Inglês;
12;Lesão tira Everton do líder São Paulo por até 3 semanas (Marcos Ribolli);https://globoesporte.globo.com/futebol/times/sao-paulo/noticia/exame-detecta-estiramento-e-sao-paulo-perde-everton-por-ate-tres-semanas.ghtml
13;SIGA: julgamento de Sánchez na Conmebol;https://globoesporte.globo.com/sp/santos-e-regiao/futebol/times/santos/ao-vivo/santos-sempre-santos.ghtml
14;Sánchez relacionado;
15;Rival do Santos pede que torcida não faça gesto racista;https://globoesporte.globo.com/sp/santos-e-regiao/futebol/times/santos/noticia/rival-do-santos-independiente-pede-a-torcedores-que-evitem-gestos-racistas-no-brasil.ghtml
16;Laureta recomenda fuga a Karola em 'Sol' (TV Globo);https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/laureta-aconselha-karola-a-fugir-para-paris.ghtml
17;Beto descobre armações;https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2018/08/segundo-sol-beto-descobrira-armacoes-de-karola.html
18;Karola e Laureta trocam tapas;https://extra.globo.com/tv-e-lazer/telinha/segundo-sol-karola-laureta-trocam-tapas-no-rosto-ameacas-rompem-amizade-23010118.html
19;'Orgulho': Olegário beija Charlotte de surpresa e ela gosta (TV Globo);https://gshow.globo.com/novelas/orgulho-e-paixao/vem-por-ai/noticia/olegario-beija-charlotte-de-surpresa-e-ela-gosta.ghtml
20;Darcy entre a vida e a morte;https://extra.globo.com/tv-e-lazer/telinha/orgulho-paixao-darcy-leva-um-tiro-fica-entre-vida-a-morte-23010152.html
21;'O Tempo': Marocas muda visual em salão;https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/marocas-muda-o-visual.ghtml
22;Betina ataca Marocas;https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2018/08/o-tempo-nao-para-betina-surtara-e-atacara-marocas.html
23;Incêndio durante festa do pijama deixa 8 mortos em Chicago, EUA (O Globo);https://oglobo.globo.com/mundo/incendio-deixa-oito-mortos-com-idades-entre-3-meses-16-anos-nos-eua-23013666
24;Documento digital de veículos é lançado e já começa a valer no DF (Ministério das Cidades/Divulgação);https://g1.globo.com/carros/noticia/2018/08/27/documento-digital-de-veiculos-e-lancado-e-comeca-a-valer-primeiro-em-brasilia.ghtml
25;Irmão viu adolescente 'voar e cair de cara' em brinquedo de parque (Reprodução/Arquivo pessoal);https://g1.globo.com/go/goias/noticia/2018/08/27/irmao-diz-que-viu-adolescente-voando-e-caindo-de-cara-no-chao-apos-ser-arremessada-de-brinquedo-em-parque-de-diversoes-de-ceres.ghtml
26;Beto Barbosa relata tremores após 1ª sessão de quimio contra câncer na bexiga  (Reprodução);https://extra.globo.com/famosos/beto-barbosa-fala-sobre-quimioterapia-tremor-nas-pernas-nos-bracos-23013910.html
27;Mulher de 36 anos leva susto ao descobrir rara gestação natural de 4 (G1/BA);https://g1.globo.com/ba/bahia/noticia/2018/08/27/baiana-descobre-gravidez-natural-de-quadrigemeos-bencao.ghtml
28;Primeiro computador da Apple pode custar até R$ 1,2 milhão;
29;Barroso suspende lei em Palmas que proibia ensino sobre gênero (Reprodução);https://g1.globo.com/to/tocantins/noticia/2018/08/27/ministro-do-stf-suspende-artigo-de-lei-que-proibe-ensino-sobre-genero-e-sexualidade-nas-escolas-de-palmas.ghtml
30;Morre no Rio, aos 87 anos, o arquiteto e urbanista Paulo Casé (Reprodução);https://blogs.oglobo.globo.com/ancelmo/post/morre-no-rio-o-arquiteto-paulo-case.html
31;Escocesa conta piadas durante cirurgia no cérebro por 9 horas (Reprodução);https://extra.globo.com/noticias/page-not-found/comediante-conta-piadas-durante-cirurgia-para-remover-tumor-cerebral-23013998.html
32;mais notícias;https://g1.globo.com/
33;Convidado para 1º toque quebra protocolo, e torcida delira;
34;'De futuro Pelé ao time B do Real': argentinos provocam Vinícius Jr. (Reprodução/Real Madrid TV);https://extra.globo.com/esporte/jornal-argentino-provoca-vinicius-junior-de-futuro-pele-ao-time-do-real-madrid-23014190.html
35;Trauco, do Flamengo, autoriza negociação com o Fenerbahçe (Divulgação/Peru);https://extra.globo.com/esporte/flamengo/lateral-trauco-do-flamengo-autoriza-agentes-negociarem-com-fenerbahce-23015204.html
36;Ex-juiz deixa polêmicas no país e vira técnico nos EUA: 'Não vou deixar de reclamar' (Arquivo Pessoal);https://globoesporte.globo.com/sp/tem-esporte/futebol/noticia/apos-renunciar-ao-quadro-da-cbf-arbitro-troca-de-lado-e-faz-estreia-como-tecnico.ghtml
37;Lisca detona árbitro e alfineta Nenê: 'Não precisa virar a cara' (Marcos Ribolli);https://globoesporte.globo.com/ce/futebol/times/ceara/noticia/lisca-detona-arbitragem-e-alfineta-nene-nao-precisa-virar-a-cara.ghtml
38;Com 2 de Gabiru, time de masters do Atlético-PR goleia em estreia (Divulgação);https://globoesporte.globo.com/pr/futebol/times/atletico-pr/noticia/com-dois-de-gabiru-masters-do-atletico-pr-estreia-com-goleada-no-interior-do-parana.ghtml
39;Mesmo após lesão, Beckham Jr. vira o wide receiver mais bem pago da NFL: US$ 95 mi (Infográfico);https://globoesporte.globo.com/futebol-americano/noticia/odell-beckham-jr-se-torna-o-wide-receiver-mais-bem-pago-da-nfl-us-95-milhoes.ghtml
40;Aos 41 anos, argentino Manu Ginóbili anuncia o fim da carreira (Getty Images);https://sportv.globo.com/site/nba/noticia/fim-da-linha-aos-41-anos-manu-ginobili-anuncia-sua-aposentadoria.ghtml
