Titulo;Link
Governo de RR pede ao STF para suspender imigração na fronteira;https://g1.globo.com/rr/roraima/noticia/2018/08/20/rr-pede-ao-stf-que-suspenda-imigracao-na-fronteira-e-que-venezuelanos-sejam-distribuidos-com-outros-estados.ghtml
Fechar fronteira com a Venezuela é 'impensável', afirma ministro;https://g1.globo.com/politica/noticia/2018/08/20/fechar-fronteira-com-a-venezuela-e-impensavel-afirma-ministro.ghtml
Testemunha: não esperaram as pessoas sair (Reprodução);https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/08/20/onibus-pega-fogo-na-linha-amarela-no-rio.ghtml
"Crack tem rosto de CR7: 'Melhor'; siga";https://g1.globo.com/rj/rio-de-janeiro/ao-vivo/operacao-das-forcas-de-seguranca-no-rio.ghtml
Estudante de MT é achada morta no Paraguai (Reprodução/Facebook);https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2018/08/20/brasileira-que-estudava-medicina-no-paraguai-e-encontrada-morta-policia-suspeita-de-crime-passional.ghtml
Homem é morto após entregar celulares ;https://g1.globo.com/sp/sao-paulo/noticia/2018/08/20/homem-e-morto-durante-assalto-apos-entregar-a-carteira-e-o-celular-em-cotia.ghtml
"Câmera registra queda de ponte em Gênova; veja (reprodução)";https://g1.globo.com/mundo/noticia/2018/08/20/cameras-de-seguranca-registraram-queda-da-ponte-em-genova-assista.ghtml
Corte de 5 zeros causa 'apagão' na Venezuela;https://oglobo.globo.com/economia/sistemas-bancarios-param-na-venezuela-com-nova-moeda-22993790
Moro condena 4 por crime ligado à Caixa Federal;https://g1.globo.com/pr/parana/noticia/2018/08/20/lava-jato-ex-deputado-andre-vargas-e-mais-tres-sao-condenados-por-lavagem-de-dinheiro.ghtml
Na urna, 521 candidatos usam títulos religiosos ;https://g1.globo.com/politica/eleicoes/2018/eleicao-em-numeros/noticia/2018/08/20/mais-de-500-candidatos-usam-titulos-religiosos-no-nome-de-urna.ghtml
PT usará texto de comitê da ONU na Justiça;https://g1.globo.com/pr/parana/eleicoes/2018/noticia/2018/08/20/pt-usara-manifestacao-da-onu-para-tentar-na-justica-aval-a-candidatura-de-lula-diz-haddad.ghtml
Messi fica fora do top 3 de melhores da Uefa  (Divulgação / Uefa);https://globoesporte.globo.com/futebol/futebol-internacional/noticia/cr7-modric-e-salah-concorrem-ao-premio-de-melhor-jogador-da-europa.ghtml
Modric nega rumor sobre Inter;https://globoesporte.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/contundente-modric-nega-ter-procurado-inter-maior-besteira-da-historia.ghtml
"Mitada de Deyverson movimenta o Cartola; Verdão domina top 3 (Reprodução)";https://globoesporte.globo.com/cartola-fc/noticia/quem-escalou-deyverson-e-a-pergunta-da-rodada-19-nas-zoacoes-das-redes.ghtml
Mansur analisa: 'Ninguém está melhor que Inter e São Paulo';https://sportv.globo.com/site/programas/redacao-sportv/noticia/para-jornalista-ninguem-esta-melhor-que-inter-e-sao-paulo-no-campeonato-brasileiro.ghtml
Flu recusa oferta de €15 milhões por Pedro (Lucas Merçon/Fluminense/FC);https://globoesporte.globo.com/futebol/times/fluminense/noticia/artilheiro-valorizado-monterrey-faz-proposta-de-15-milhoes-de-euros-por-pedro.ghtml
