,nome,localizacao,foto
0,Adriana Antunes,Caxias do Sul/RS,./Mulheres Palestrantes_files/tumblr_n8g0ld4jND1tfojqwo1_1280.jpg
1,Adriana da Rosa Amaral,Porto Alegre/RS,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAqwAAAAJDE0YmE0MmIxLWM5NjMtNDQ5MC05M2FjLWNjMDFjOGU5NzA1Zg.jpg
2,Alda Rocha,São Paulo/SP,./Mulheres Palestrantes_files/07ac697bcff40050a82cb4503de9eb68.png
3,Alessandra Guglieri,Porto Alegre/RS,./Mulheres Palestrantes_files/0ccfeff.jpg
4,Alice Coutinho,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
5,Aline de Campos,Porto Alegre/RS,./Mulheres Palestrantes_files/AlinedeCampos.jpg
6,Aline M. C. Freitas,Belém/PA,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAYFAAAAJDVkMzNjY2U2LTNjMGQtNDE5NC1hNDgxLTBmM2RhY2MyYjBiNQ.jpg
7,Aline Pêgas,Curitiba/PR,./Mulheres Palestrantes_files/profile.jpg
8,Alline Jajah,Goiânia/GO,./Mulheres Palestrantes_files/allinejajah-1418015868_280.jpg
9,Alline Oliveira,"São Paulo/SP, Rio de Janeiro/RJ, Brasília/DF e Goiânia/GO",./Mulheres Palestrantes_files/26e9188.jpg
10,Alynne Cid,Belém/PA,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAcsAAAAJDc5ODNjOTU3LWE5MjItNGZjNi04ZjJkLTYwODJlYjU3OWYyNw.jpg
11,Amanda Santana,Aracaju/SE,./Mulheres Palestrantes_files/b1888a06cb886303500bc65c1d81f200.jpeg
12,Amanda Silva Vieira,Porto Alegre/RS,./Mulheres Palestrantes_files/ff491a846bf9e5f3f5d081787ff54ae2.jpeg
13,Amanda Vilela,Sorocaba/SP,./Mulheres Palestrantes_files/3ab1d4a265ad9289afe10956a78271df.jpeg
14,Amanda Zacarias Marinho,Belo Horizonte/MG,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAigAAAAJDc4Y2E4ZjUyLTVhYzAtNDgxNi05YTk0LWZhY2M5OWQ1Y2MzNA.jpg
15,Amélia Pessoa,Recife/PE,./Mulheres Palestrantes_files/9038852
16,Ana Antar,Salvador/BA,./Mulheres Palestrantes_files/ts6SYp9G_400x400.jpg
17,Ana Barcellos,Brasília/DF,./Mulheres Palestrantes_files/8314551
18,Ana Carolina Alves Rodrigues,Florianópolis/SC,./Mulheres Palestrantes_files/0b16903eeb7899542ce526c21eee7c74.jpeg
19,Ana Clarissa,Manaus/AM,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAMDAAAAJDRiZDJjMDczLWE5MWMtNGU0Yi04ZTc4LTk5NjU2M2VmNTlmNQ.jpg
20,Ana Del Mar,São Paulo/SP,./Mulheres Palestrantes_files/0_pIHHOU-J17PpZDyH.jpg
21,Ana Fontes,São Paulo/SP,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAmTAAAAJDY4MGJhMGI5LTBhNmEtNDU4Yi04ZWVlLWE1ZjFhNzdlODNmZg.jpg
22,Ana Julia Ghirello,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAhkAAAAJDc3MjI1MDk3LWFiMDctNDNlYi1iYmJhLTEwYjA3NTBkNGVmOA.jpg
23,Ana Luíza Avellar,Recife/PE,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAgUAAAAJGI2MjVlZjQwLTQzMzAtNDE3Zi1hZGQ1LWRmZGI5NmEzNzE1NA.jpg
24,Ana Luiza Bastos,São Paulo/SP,./Mulheres Palestrantes_files/10088900
25,Ana Paula Coelho Barbosa,Ilhabela/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAi8AAAAJGM4ZDM3NDk0LTcxNmEtNDBjYy1hODFlLWQ0Yzg0ZmViMjUxMA.jpg
26,Ana Paula da Silva Mendes,Teresina/PI,./Mulheres Palestrantes_files/27858278_2471054366452191_7904831545054840493_n.jpg
27,Ana Paula de Luca,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
28,Ana Paula Gaspar,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
29,Ana Paula Gomes,Belo Horizonte/MG,./Mulheres Palestrantes_files/38e1ead1b5834e26fb681116e6b7ebf5.jpeg
30,Ana Paula Marques,Sobral/CE,./Mulheres Palestrantes_files/placeholder-female.jpg
31,Ana Paula Vargas Maia,Salvador/BA,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAAxkAAAAJGJmYTRmMzUzLWYzYjYtNDQ2ZS04MWM3LTAxMjIxZTVhMGJlOA.jpg
32,Ana Raquel Calháu Pereira,Itajubá/MG,./Mulheres Palestrantes_files/5718645
33,Ana Ribeiro,Campina Grande/PB,./Mulheres Palestrantes_files/fbcae7dfc50e5e33d18cae175d957c64.jpeg
34,Ana Rute Mendes,São Paulo e Campinas/SP,./Mulheres Palestrantes_files/a4d2fe468c774392ea7deb9efb9e61f5.jpeg
35,Ana Schwendler,Porto Alegre/RS,./Mulheres Palestrantes_files/I8PSmdIN.jpg
36,Ananda Carvalho,Manaus/AM,./Mulheres Palestrantes_files/3c368abae57d0fb60ff976fb1be47d99
