	link	titulo
0	https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/20/pesquisa-ibope-lula-37-bolsonaro-18-marina-6-ciro-5-alckmin-5.ghtml	Ibope indica Lula com 37% e Bolsonaro com 18%; veja a pesquisa
1	https://oglobo.globo.com/brasil/ibope-sem-lula-bolsonaro-aparece-com-20-marina-com-12-ciro-com-9-22995661	Sem Lula, Bolsonaro tem 20%, Marina, 12%, Ciro, 9%, e Alckmin, 7%
2	https://g1.globo.com/sp/sao-paulo/eleicoes/2018/noticia/2018/08/20/pesquisa-ibope-em-sao-paulo-doria-20-skaf-18-franca-5-marinho-4.ghtml	Em SP, Ibope tem Doria com 20% e Skaf com 18% (Reprodução/Facebook)
3	https://g1.globo.com/pe/pernambuco/eleicoes/2018/noticia/2018/08/20/pesquisa-ibope-em-pernambuco-paulo-camara-27-armando-monteiro-21.ghtml	PE: Paulo Câmara, 27%; A. Monteiro, 21%
4	https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2018/noticia/2018/08/20/pesquisa-ibope-no-rio-de-janeiro-romario-14-paes-12-garotinho-12.ghtml	"RJ: Romário tem 14%; Paes, 12%; Garotinho, 12%
"
5	https://g1.globo.com/pa/para/eleicoes/2018/noticia/2018/08/20/pesquisa-ibope-no-pa-helder-43-paulo-13-marcio-11.ghtml	Helder tem 43%, Paulo, 13%, Márcio, 11% no PA
6	https://oglobo.globo.com/brasil/2018/08/20/3046-alckmin-comete-gafe-diz-que-convidou-vice-de-ciro-para-sua-chapa	Alckmin comete gafe e 'troca' sua vice pela de Ciro
7	https://oglobo.globo.com/brasil/bolsonaro-reage-fh-diz-que-pt-psdb-trabalham-por-indulto-de-lula-22994831	Bolsonaro rebate FHC após receber críticas
8	https://g1.globo.com/mundo/noticia/2018/08/20/como-os-paises-vizinhos-tem-reagido-a-chegada-de-milhares-de-imigrantes-da-venezuela.ghtml	Como os países vizinhos reagem a venezuelanos? (Reprodução)
9	https://g1.globo.com/rr/roraima/noticia/2018/08/20/nao-esperava-essa-repercussao-toda-diz-comerciante-de-rr-agredido-em-assalto-na-fronteira-com-a-venezuela.ghtml	RR: vítima relata a agressão de  venezuelanos (Roque Neto/Rede Amazônica Roraima)
10	https://g1.globo.com/df/distrito-federal/noticia/2018/08/20/doeu-bastante-dizem-venezuelanos-no-df-apos-video-de-ataque-e-expulsao-em-roraima.ghtml	'Por uns, pagam todos', lamenta venezuelano (Marília Marques/G1)
11	https://globoesporte.globo.com/futebol/times/vasco/noticia/valdir-lamenta-falta-de-pontaria-e-nao-se-inquieta-com-futuro-estou-sossegado.ghtml	Após empate, Valdir evita falar de futuro no Vasco: 'Sossegado' (André Durão/GloboE)
12	https://globoesporte.globo.com/futebol/times/vasco/noticia/torcedor-e-agredido-em-sao-januario-apos-xingar-eurico-miranda.ghtml	Rapaz xinga Eurico e apanha
13	http://interativos.globoesporte.globo.com/futebol/brasileirao-serie-a/voce-escala/monte-um-time-com-os-destaques-da-primeira-metade-do-campeonato-brasileiro	VC Escala: monte a seleção do 1º turno (GloboEsporte.com)
14	https://sportv.globo.com/site/programas/selecao-sportv/noticia/comentaristas-elegem-suas-selecoes-do-primeiro-turno-do-brasileiro-veja-times.ghtml	Pedro e Everton: unanimidade nas seleções de jornalistas
15	https://globoesporte.globo.com/sc/futebol/times/chapecoense/noticia/chape-nao-consegue-pousar-muda-rota-para-porto-alegre-e-segue-viagem-de-onibus.ghtml	Chape não consegue pousar, e muda rota para Porto Alegre (Divulgação / Uefa)
16	https://gshow.globo.com/programas/video-show/noticia/carioca-estreia-no-video-show-e-causa-rebolico-na-web.ghtml	Carioca estreia no 'Vídeo Show' e web vibra por 'incidentes' (Reprodução)
17	https://globoplay.globo.com/v/6958354/	Assista a 'trolagens' aqui 
18	https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/beto-e-icaro-levam-surra-de-testemunha-que-pode-inocentar-luzia.ghtml	Beto e Ícaro levam surra de testemunha que inocentaria Luzia (TV Globo)
19	https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2018/08/segundo-sol-karola-saira-no-tapa-com-laureta.html	Karola sai no tapa com Laureta
20	https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/mae-de-marocas-diz-nao-para-o-casamento-da-filha-com-samuca.ghtml	'O Tempo': Mãe diz não ao casamento de Marocas com Samuca (Globo)
21	https://g1.globo.com/pr/norte-noroeste/noticia/2018/08/20/carro-com-dispositivo-de-fumaca-para-despistar-policia-e-apreendido-em-cianorte.ghtml	Polícia do PR apreende carro que libera fumaça para facilitar fuga (Reprodução/RPC)
22	https://g1.globo.com/mundo/noticia/2018/08/20/mulher-que-passeava-com-cachorro-e-morta-por-jacare-na-carolina-do-sul.ghtml	Alligator de 2,2m mata mulher que saiu para passear com o cão (Drew Martin/The Island Packet via AP)
23	https://g1.globo.com/politica/noticia/2018/08/20/video-carmen-lucia-raquel-dodge-e-grace-mendonca-cantam-nao-deixe-o-samba-morrer-com-alcione.ghtml	Poderosas! Alcione canta com presidente do STF, PGR e AGU (Reprodução/Instagram)
24	https://g1.globo.com/mt/mato-grosso/noticia/2018/08/20/menina-de-8-anos-morre-em-hospital-de-cuiaba-apos-sofrer-estupro-diz-policia.ghtml	Garotinha de 8 anos morre em hospital de Cuiabá; exames comprovaram estupro (Getty Images)
25	https://g1.globo.com/sc/santa-catarina/noticia/2018/08/20/pai-e-indiciado-por-homicidio-culposo-apos-acidente-que-causou-morte-de-filha-e-cunhada-em-sc.ghtml	Pai é indiciado após acidente de carro que causou morte da filha (Reprodução/ Facebook)
26	https://www.techtudo.com.br/noticias/2018/08/samsung-galaxy-note-9-vs-iphone-x-compare-ficha-tecnica-e-detalhes.ghtml	Novo celular poderoso da Samsung rouba a cena do iPhone; veja (Thássius Veloso/TechTudo)
27	https://epocanegocios.globo.com/Empresa/noticia/2018/08/latam-airlines-tem-prejuizo-de-us-114-milhoes-no-2-trimestre.html	Maior da América Latina, Latam registra prejuízo de US$ 114 milhões no 2º trimestre (Instagram)
28	https://revistamarieclaire.globo.com/Noticias/noticia/2018/08/homem-recebe-passe-livre-da-namorada-e-dorme-com-300-mulheres.html	Após passe livre da namorada, rapaz transa com 300 (Reprodução / Instagram)
29	https://g1.globo.com/ciencia-e-saude/noticia/2018/08/20/nasa-comprova-existencia-de-gelo-na-superficie-dos-polos-da-lua.ghtml	Nasa comprova: Lua tem depósitos de gelo em seus dois polos (NASA)
30	https://g1.globo.com/	mais notícias
31	https://extra.globo.com/esporte/jornal-espanhol-diz-que-lopetegui-quer-proteger-vinicius-junior-no-real-madrid-22995822.html	Jornal espanhol 'cobra' presença de Vinícius Jr. em campo no Real (divulgação)
32	https://globoesporte.globo.com/rs/futebol/times/gremio/noticia/em-reuniao-da-conmebol-gremio-faz-pedido-para-a-cbf-para-adiamento-de-jogos.ghtml	Grêmio pede que CBF adie dois jogos por se achar prejudicado (Marcos Ribolli)
33	https://globoesporte.globo.com/futebol/futebol-internacional/noticia/janela-ge-psg-de-olho-em-rakitic-barca-em-rabiot-e-giuliano-na-arabia.ghtml	PSG quer Rakitic, Barça mira Rabiot e Giuliano vai jogar na Arábia (divulgação)
34	https://globoesporte.globo.com/futebol/times/fluminense/noticia/consorcio-notifica-fluminense-por-nao-pagamento-de-aluguel-do-maracana.ghtml	Concessionária notifica Fluminense por não pagamento de aluguel do Maracanã
35	https://globoesporte.globo.com/al/futebol/noticia/aloisio-chulapa-volta-ao-morumbi-e-provoca-apos-vitoria-do-sao-paulo-segue-o-lider-video.ghtml	Aloísio Chulapa volta ao Morumbi e provoca: 'Segue o líder'; vídeo (Arquivo pessoal)
36	https://globoesporte.globo.com/futebol/futebol-internacional/futebol-espanhol/noticia/simeone-diz-que-filipe-luis-fica-mas-oblak-fala-do-lateral-em-tom-de-despedida.ghtml	Simeone diz que Filipe Luís fica, mas Oblak entrega 'despedida' ( REUTERS/David Gray)
37	https://globoesporte.globo.com/volei/noticia/na-preparacao-ao-mundial-brasil-faz-roteiro-perfeito-na-vitoria-contra-a-holanda.ghtml	Na preparação ao Mundial de vôlei, Brasil faz roteiro perfeito na vitória contra a Holanda (César Greco / Ag. Palmeiras / Divulgação)
38	https://globoesporte.globo.com/futebol/times/sao-paulo/noticia/aguirre-pede-humildade-no-lider-sao-paulo-e-abre-mao-de-reforcos-nao-preciso-de-mais-ninguem.ghtml	Aguirre abre mão de reforços: 'Não preciso de mais ninguém' (Marcelo Hazan)
39	https://extra.globo.com/esporte/flamengo/ainda-sem-gols-pelo-flamengo-vitinho-recebe-criticas-nas-redes-sociais-22994660.html	Após seis jogos sem gol no Fla, torcida pega no pé de Vitinho na web (RODOLFO BUHRER/FOTOARENA/ESTADÃO CONTEÚDO)
40	https://globoesporte.globo.com/	mais esportes
41	https://vogue.globo.com/moda/gente/noticia/2018/08/antonia-fontenelle-entrevista-sarah-poncio-que-fala-sobre-perdao-ao-marido-jonathan-couto-por-traicao.html?234	Após traição, Sarah diz que perdoou marido e ex-cunhada (Reprodução/ Youtube)
42	https://revistaquem.globo.com/QUEM-News/noticia/2018/08/decotes-transparencias-e-fendas-dominam-red-carpet-do-vma-201.html	Decotes, fendas e transparências dão o tom no VMA; confira (Getty Images)
43	https://vogue.globo.com/moda/gente/noticia/2018/08/rita-ora-aposta-em-look-inteiro-transparente-para-o-vma-2018.html	Rita Ora arrasa em look sensual, mas exibe demais no VMA (Getty Images for MTV)
44	https://revistaquem.globo.com/QUEM-News/noticia/2018/08/simaria-conta-o-que-mudou-apos-afastamento-da-dupla-tudo-e-aprendizado.html	Simaria revela que, ainda doente, come durante os shows: 'Botar sal no corpo' (Marcus Hyde / Calvin Klein)
45	https://vogue.globo.com/beleza/gente/noticia/2018/08/romana-novais-mostra-curvas-em-foto-no-mar-morto-com-alok.html	Noiva de Alok mostra as curvas em foto com o DJ no Mar Morto (Reprodução/ Instagram)
46	https://revistaquem.globo.com/QUEM-News/noticia/2018/08/kristen-stewart-curte-passeio-agarradinha-com-namorada-modelo.html	Kristen Stewart é 'só love' com angel da Victoria's Secret; veja (Backgrid)
47	https://vogue.globo.com/moda/gente/noticia/2018/08/bella-falconi-posta-primeira-foto-de-stella.html	'Fraca eu? Jamais', diz Bella Falconi ao relatar parto da 2ª filha; conheça Stella (Reprodução)
48	https://revistaquem.globo.com/QUEM-News/noticia/2018/08/mulher-gato-com-decotao-e-look-de-vinil-fiorella-mattheis-arrasa-em-evento.html	Mulher-Gato? Fiorella Mattheis arrasa com look sexy em evento (Samuel Chaves/Brazil News)
49	https://revistaquem.globo.com/QUEM-News/noticia/2018/08/grazi-massafera-cuida-da-forma-correndo-em-praia-no-rj.html	Grazi Massafera é clicada correndo na areia da praia; fotos (AgNews)
50	https://gshow.globo.com/	mais variedades
51	https://www.techtudo.com.br/noticias/2018/08/f1-2018-e-shenmue-sao-destaques-nos-lancamentos-da-semana.ghtml	Confira os grandes jogos que são lançamentos na semana (Reprodução / TechTudo)
