,link,titulo
0,https://g1.globo.com/economia/noticia/2018/08/21/cotacao-do-dolar-21082018.ghtml,Dólar sobe e passa de R$ 4 após divulgação de pesquisa eleitoral
1,https://g1.globo.com/politica/blog/valdo-cruz/post/2018/08/21/incerteza-segue-como-marca-da-eleicao-e-eleva-preocupacao-no-mercado.ghtml,Valdo Cruz: incerteza na eleição eleva preocupação no mercado
2,https://g1.globo.com/mg/minas-gerais/eleicoes/2018/noticia/2018/08/21/marcio-lacerda-retira-sua-candidatura-ao-governo-de-minas-pelo-psb.ghtml,Lacerda retira a candidatura em MG e deixa o PSB
3,https://g1.globo.com/politica/eleicoes/2018/eleicao-em-numeros/noticia/2018/08/21/escolaridade-dos-candidatos-aumenta-para-todos-os-cargos-nesta-eleicao.ghtml,Aumenta escolaridade de candidatos em 2018
4,https://oglobo.globo.com/brasil/moro-diz-ao-cnj-que-soltar-lula-iria-provocar-situacao-de-risco-22997846,Moro diz ao CNJ que 'soltar Lula provocaria risco'
5,https://g1.globo.com/politica/noticia/2018/08/21/pdt-recorre-ao-stj-para-garantir-que-integrantes-do-partido-possam-visitar-lula-na-cadeia.ghtml,PDT recorre ao STJ por visita a Lula no Paraná
6,https://g1.globo.com/rr/roraima/noticia/2018/08/21/equipe-de-11-ministerios-faz-reuniao-na-fronteira-com-a-venezuela-para-avaliar-situacao-de-imigrantes-em-rr.ghtml,Governo envia comitiva para reunião em RR
7,https://g1.globo.com/politica/noticia/2018/08/21/agu-se-manifesta-contra-fechamento-da-fronteira-do-brasil-com-a-venezuela.ghtml,AGU é contra fechar a fronteira em Roraima
8,https://extra.globo.com/casos-de-policia/2018/08/21/36-costureira-baleada-por-pm-em-duque-de-caxias-tem-morte-encefalica,Baleada em blitz por PM morre em hospital (Reprodução)
9,https://g1.globo.com/sp/sao-paulo/noticia/2018/08/21/corpo-de-otavio-frias-filho-e-velado-em-cemiterio-na-grande-sp.ghtml,Corpo de Otavio Frias Filho é cremado em SP (Lucas Lacaz Ruiz / Futura Press)
