Timestamp,How many
02/01/2013 16:59:06,0
02/01/2013 15:20:50,69
02/01/2013 16:16:51,123
02/01/2013 18:14:04,137
02/01/2013 20:04:27,174
02/01/2013 16:59:09,240
02/01/2013 15:19:48,241
02/01/2013 16:35:58,256
02/01/2013 16:28:28,258
02/01/2013 23:18:28,322
02/01/2013 16:17:02,366
02/01/2013 16:30:23,376
02/01/2013 15:26:34,408
02/01/2013 17:56:35,479
02/01/2013 15:56:00,555
02/01/2013 15:19:35,589
03/01/2013 10:20:51,600
02/01/2013 15:39:28,777
02/01/2013 15:21:24,784
02/01/2013 15:46:07,822
02/01/2013 16:53:47,850
02/01/2013 16:23:35,863
02/01/2013 15:20:15,1116
02/01/2013 16:24:46,1143
02/01/2013 15:21:11,1214
07/01/2013 18:15:32,1250
02/01/2013 15:26:57,1776
