data_arquivamento,acessibilidade,impacto_ambiental,nome,democratizacao,justificativa,mecanismo,resumo,sinopse,especificacao_tecnica,data_inicio,objetivos,ficha_tecnica,etapa,data_aceite,id,estrategia_execucao,data_termino
,"Com o objetivo de permitir o ingresso de pessoas portadoras de deficiência física, os locais de lançamento, tanto na capital gaúcha com nas cidades do interior, terão o accesso facilitado através de r","","Retratos Gaúchos: Seus Povos, Sua Almas","Com o objetivo de democratizar o acesso de camadas menos favorecidas ao material elaborado pelo projeto, teremos: - Acesso gratuito a exposição de fotos constantes no livro; - Distribuição gratuita de","É notório que a história de uma cidade, estado ou país deve-se muito aos povos que escolheram aquele lugar como sua moradia, seu habitat para criar sua família. Num mesmo local podemos ter diferentes","Mecenato","Publicação de um livro que relate a história de dezessete povos que ajudaram a colonizar o estado do Rio Grande do Sul (alemães, italianos, japoneses, judeus, índios, espanhóis, açorianos, negros, árabes, palestinos, chineses, coreanos, poloneses, russos, suecos, austríacos e ucranianos). Quais suas contribuições para a cultura e o desenvolvimento do estado. Lançamento do livro na capital gaúcha e em quatro cidades do interior. Tiragem de três mil exemplares, com distribuição gratuita.","","","2009-04-10","GERAL: - Editar e publicar um livro que mostre a história de dezessete povos que  ajudaram a colonizar o estado do Rio Grande do Sul: sua contribuição para o crescimento, como eles viveram e vivem atu","","A edição do livro “Retratos Gaúchos: Seus Povos, Sua Alma” prevê as seguintes ações: ABRIL Captação dos recursos com apoio da Lei Rouanet; ABRIL, MAIO E JUNHO Organização da equipe de editor, pesquisa",,1,"","2009-12-31"
,"Em 4 anos de realização do projeto, notamos que a acessibilidade de portadores de deficiência aos locais dos eventos está cada vez maior.   Os eventos vem se adequando ao fato para que toda a populaçã","","Difusão do Cinema Brasileiro","Os festivais e mostras brasileiras de cinema são abertos ao público em geral, geralmente sem custo à população. Em alguns eventos, e cada vez em maior quantidade, realizam-se projeções de filmes e deb","O projeto Difusão do Cinema Brasileiro, realizado pelo Instituto Cinema em Transe em parceria com a Secretaria do Audiovisual desde 2005, conseguiu fazer uma divulgação significativa do cinema brasile","Mecenato","Fomentar o cinema brasileiro ao público de festivais e eventos audiovisuais no país e no exterior, através da distribuição de exemplares da Revista de CINEMA, a principal e única publicação do setor no Brasil, de fevereiro a dezembro de 2009.","","","2009-05-02","Objetivos gerais   Dar continuidade ao fomento e divulgação do cinema brasileiro, tendo em vista o resultado positivo obtido com o mesmo projeto, realizado nos anos anteriores de 2005 a 2008.   Objeti","","O projeto alcançará 19 eventos nos meses de abril a dezembro de 2009. Cada evento, de acordo com o público estimado participante, terá uma quantidade suficiente de exemplares da Revista de CINEMA para",,2,"","2009-12-15"
,"gfgfgfgfgfgf","","História da Arte","gfgf","gfgfg","Mecenato","História da Arte","","","2009-05-21","glkfdçlgkflkg","","gfgf",,3,"","2009-06-21"
,"A Feira do Livro de Bento Gonçalves ocorre em Logradouro Público onde as calçadas já tem pontos rebaixados para possibilitar o acesso de cadeirantes e pessoas com dificuldade de mobilidade, assim todo","","24º FEIRA DO LIVRO DE BENTO GONÇALVES","A Feira do Livro de Bento Gonçalves oferece aos moradores da cidade e região de comprarem livros a preços mais baratos, haja vista que a aceitação dos livreiros está vinculada a prática de descontos,","A celeridade das transformações sociais exige das pessoas a busca constante de atualização por meio do conhecimento. Neste contexto o investimento na formação de leitores críticos e intelectualmente a","Mecenato","Fomentar o consumo de literatura em Bento Gonçalves, desencadeando novas leituras de vida e de mundo em pessoas de todas as idades e classes sociais, através da realização da 24ª Feira do Livro, cuja visitação prevista é 100 mil pessoas.","","","2009-05-06","Objetivo Geral: Fomentar o consumo de literatura em Bento Gonçalves, desencadeando novas leituras de vida e de mundo em pessoas de todas as idades e classes sociais, através da realização da 24ª Feir","","Os espaços serão programados e organizados de acordo com os Projetos a serem realizados e com a temática proposta nesta edição.Todas as atividades e espaços serão viabilizados através de parcerias, es",,4,"","2009-06-30"
,"Em Vitória/ES, os teatros estão adaptados a receber cadeirantes, seja através de entradas laterais, seja através de rampas. Em praticamente todos existe local suficiente para permitir o estacionamento","","Joana","Para democratizar o acesso e garanti-lo a participantes de grupos de convivência de terceira idade que normalmente não frequentam teatros, providenciaremos vans ou ônibus para o traslado dos grupos at","Ao conhecer e ficar amiga de uma atriz experiente, Maria Alice Costa, ouvi dela o quanto ela sentia falta de atuar, e de como eram escassas as oportunidades para uma mulher de mais de 60 anos. E receb","Mecenato","Montagem de um espetáculo teatral, com texto de autoria de Fernando Portella, cujo personagem único é uma mulher de 60 anos. Como parte do projeto serão oferecidas oficinas de atualização para atores experientes e atividades cênicss para grupos da terceira idade.","","","2009-06-01","Montagem de um espetáculo teatral, de temática adulta, com uma só atriz. Oferecer oficinas de atualização cênica, a serem escolhidas, para atores e técnicos experientes, que serão selecionados por mei","","Etapa 1 – abril a junho Buscar parcerias e captar recursos Firmar parceria com a instituição X para a cessão do espaço destinado às aulas Seleção e contratação dos profissionais (figurinista, ilumi",,5,"","2009-12-31"
,"O grupo Arraiá do Patativa a cada ano renova os seus participantes, essa renovação é um espaço democrático aberto a qualquer cidadão, sem que haja distinção de condições especiais, cor, sexo, raça. re","","Cem Anos de Poesia em Ritmo de São João","Da Participação no grupo: O grupo garante o acesso gratuito de qualquer cidadão que deseje participar dos projetos, sem que haja nenhum ônus, decorrente do porjeto, para o participante, sendo a instit","O município de Assaré, está localizado na região do Semi-Árido Nordestino, especificamente no Sertão do Cariri, estado do Ceará. Com uma população de 21.612 habitantes¹. A cidade tem uma peculiaridade","Mecenato","O projeto Cem Anos de Poesia em ritmo de São João tem por objeto produzir a montagem e circulação da Quadrilha Junina Arraiá do Patativa, com o espetáculo Cem anos de poesia em ritmo de São João ,por 17 cidades do estado do Ceará e mais 03 cidades do nordeste, a saber: Mossoró, Campina Grande e Recife. O espetáculo contará através das tradições juninas a vida e obra do poeta Patativa do Assaré que em 2009 ,se vivo estivesse, estaria completando 100 anos.","","","2009-04-13","Objetivo Geral: ·      Montar o espetáculo Cem Anos de Poesia em Ritmo de São João, em homenagem aos cem anos do poeta Patativa do Assaré, através da quadrilha junina Arraiá do Patativa, garantindo","","1ª Etapa: ·         Realizar um trabalho de pesquisa sobre o poeta Patativa do Assaré; ·         Socializar as pesquisas com todo o grupo; ·         Analisar qual será a visão exposta no espetáculo. ·",,6,"","2009-10-13"
"2010-05-26","Os produtores do projeto tem uma preocupação com o acesso de todos ao espetáculo, pois desde 2007 não temos pré requisitos de que tipo de coros ou corais irão participar. Contamos com um coral cujo o","","Diga OI ao Natal","PUBLICO-ALVO O publico esperado são famílias reunidas (Pai, Mãe e filhos) dos bairros da Grande Vitória, sendo periférico ou não. Freqüentadores do Shoppings. Trabalhadores do Centr","Trata-se de Projeto que visa à prática do Canto Coral em vários locais da Grande Vitória durante uma semana, levando em consideração que no Sul do País e em alguns estados do Brasil este tipo de encon","Mecenato","Desde 2007, em comemoração ao Natal acontece na Grande Vitória o evento “Diga Oi ao Natal”. O projeto que ocorre durante duas semana, nos municípios da Serra, Vitória, Cariacica e Vila Velha, reúne as linguagens culturais: música, literatura, teatro e dança, visando através deste encontro, enaltecer os corais e coros da terra através da divulgação de seu trabalho e presentear o publico com 15 apresentações na Grande Vitória.","","","2009-12-07","OBJETIVO Geral: Proporcionar a comunidade da Grande Vitória um encontro de corais, em forma de espetáculo natalino. Específico: Difundir o canto coral do Estado com a produção de 15 espetáculos (e","","ESTRATÉGIA DE AÇÃO 1 - Elaboração do projeto – Criação de projeto, definindo seus objetivos, justificativas, estratégias de ação e orçamento. 2 - Captação de Recursos - Desenvolvimento de orçamento",,7,"","2009-12-20"
"2010-05-26","Informações sobre acessibilidade aos locais do show RECOMEÇO, nas cidades do Rio, Brasília e Curitiba:    1. RIO DE JANEIRO – TEATRO CARLOS GOMES ú          Entrada especial lateral para deficientes","","VIRGÍNIA RODRIGUES - RECOMEÇO","Como uma das intenções é a formação de platéia, os ingressos terão preço um pouco abaixo do mercado. 10% dos ingressos em cada cidade vão ser reservados para músicos e estudantes de escolas de música,","Nascida em 1964, em um bairro pobre de Salvador, Virgínia largou a escola aos 12 anos para ajudar no sustento da família. Lavadeira, diarista, manicure e cozinheira foram algumas das profissões que","Mecenato","Apresentações do show RECOMEÇO, lançamento do novo CD da cantora Virginia Rodrigues, nas cidades do Rio de Janeiro, São Paulo, Belo Horizonte e Porto Alegre, no mês de junho de 2009.","","","2009-04-10","O projeto se refere à circulação do show de lançamento do novo CD da cantora Virginia Rodrigues em quatro capitais – Rio, São Paulo, Belo Horizonte e Porto Alegre. As apresentações do disco RECOMEÇO s","","Etapas   Pré Produção - 10/04/2009 a 31/04/2009 Contratação de artistas e técnicos e produção local | Escolha do local do show nas cidades | Liberações em geral.   Divulgação - 01/05/2009 a 31/05/200",,8,"","2009-09-30"
,"Todas as atividades terão o acompanhamento de orientadores capacitados ao atendimento de portadores de necessidades especiais, assim como os locais onde as atividades serão desenvolvidas serão de fáci","","Caravanas Culturais","Todas as atividades das Caravanas serão gratuitas. As inscrições para a participação serão previamente divulgadas junto aos meios de comunicação da localidade e crianças e jovens do ensino público te","O projeto Caravanas Culturais promove a itinerância de temas universais, estabelecendo nas localidades por onde passa uma reflexão sobre cada uma das realidades encontradas e, através da utilização de","Mecenato","Caravanas Culturais é um projeto de responsabilidade sociocultural com educação complementar. Um conjunto de vivências culturais distribuídos em diversas atividades criando condições de participação e de inclusão social em cidades do interior do Estado de São Paulo e comunidades carentes. Um projeto comprometido com a promoção da capacitação e evolução de seus participantes, com temas estimulantes, inspirados nas vivências cotidianas de cada comunidade.","","","2009-04-03","O projeto Caravanas Culturais foi planejado e estruturado de forma a estabelecer a percepção positiva dos indivíduos sobre os seus valores individuais, sua identidade e sua cultura e, através das rela","","ITEM PERÍODO INÍCIO TÉRMINO Etapa 1 – Preparação 04 sems. Sex 03/04/09 Dom 03/05/09 Etapa 2 – Caravanas 33 sems. Seg 04/05/09 Sex 11/12/09 Etapa 3 – Prestação de C",,9,"","2009-12-18"
"2010-06-10","A adequação do espaço será feita de forma a facilitar o acesso dos deficientes Físicos. A Exposição contará com monitores treinados que facultativamente poderão guiar os visitantes apresentando as obr","Não haverá impacto ambiental, pois todas as atividades previstas no projeto serão realizadas nos espaços internos da Universidade da Paraná. A exposição das obras selecionadas pelo concurso será no So","ARTEMA - ARTES TEMATICAS","A idéia é difundir a arte não apenas em caráter comtemplativo e sim interativo, podendo assim ampliar nossas ações de caráter educativo, que contemplem os processos de formação para e pela arte, ações","Por suas características próprias, o segmento das artes plásticas pode ser apontado como um dos mais importantes e significativos canais de comunicação dentre as diversas formas de expressão civilizad","Mecenato","Disponibilizar ao público leigo e especializado uma exposição temática abrangendo informações técnicas sobre este segmento artístico; que conjuga a estética do esporte com a arte acessível a um público mais amplo, lançando bases para outros artistas possam estudar, desenvolver e se beneficiar destes trabalhos como ganho cultural, incentivando a promoção de intercâmbio de conhecimentos técnicos específicos;Implemento à formação cultural, intelectual e artística do público alvo.","Especificações do catálogo: Capa - formato aberto 40 X 20 orelha de 14cm 2 cores couché fosco 350gr formato fechado 20X20cm Miolo - 48 páginas em 4 x 4 cores. Couché brilho 250gr","Proposta Museográfica: a exposição apresentará os trabalhos que serão selecionados pelo Concurso. Por essa razão nao é possível ainda fazermos uma proposta museográfica pois não sabermos as dimensões","2010-08-01","OBJETIVO GERAL Através do projeto ARTEMA – Artes Temáticas implementaremos uma grande mostra itinerante de trabalhos nas artes visuais, com obras cuja temática seja exclusivamente o esporte. O projeto","A ficha técnica figurará juntamente com o regulamento do ARTEMA e constará: Nome da Obra, Dimensão, Técnica e Autor. sendo que a Curadoria caberá a Sra. Lani Goeldi Dentre os colaboradores do Artema","1. Lançamento do projeto e divulgação do regulamento com temática pré- estabelecida 2. Organização do material a ser exposto e seleção dos artistas que comporão o evento 3. Contratação de pessoal e lo",,10,"PROJETO PEDAGÓGICO Oficinas e wokshops sobre Gravura Brasileira: O projeto pretende estabelecer ações que possibilitem ao público participante, entender e praticar os procedimentos da gravura em rele","2011-03-04"
