Timestamp,How many hours did you sleep last night?,Recognition Score,Temporal Memory Score
12/11/2012 18:16:31,7.0,91.0,86.0
12/13/2012 14:31:16,6.5,95.0,78.0
12/13/2012 14:31:30,7.0,95.0,56.0
12/13/2012 14:32:01,5.0,91.0,81.0
12/13/2012 14:34:07,8.5,100.0,75.0
12/13/2012 14:34:16,7.0,87.0,80.0
12/13/2012 14:35:50,6.5,91.0,95.0
12/13/2012 14:36:36,8.5,95.0,91.0
12/13/2012 14:44:30,6.5,91.0,81.0
12/13/2012 14:44:57,7.0,91.0,86.0
12/13/2012 14:48:38,8.0,100.0,79.0
12/13/2012 14:54:44,7.5,100.0,87.0
12/13/2012 14:58:49,8.0,95.0,73.0
12/13/2012 15:01:56,7.0,79.0,78.0
12/13/2012 15:03:48,5.0,91.0,81.0
12/13/2012 15:07:31,7.0,100.0,95.0
12/13/2012 15:08:34,7.5,100.0,70.0
12/13/2012 15:12:18,8.5,100.0,95.0
12/13/2012 15:30:14,7.0,83.0,90.0
12/13/2012 16:00:34,8.5,95.0,73.0
12/13/2012 16:07:53,4.0,91.0,86.0
12/13/2012 16:08:13,4.0,95.0,73.0
12/13/2012 18:48:48,4.5,100.0,100.0
12/13/2012 20:19:32,7.0,70.0,82.0
12/14/2012 1:42:31,8.0,95.0,100.0
12/14/2012 1:55:20,9.0,45.0,54.0
12/14/2012 10:58:26,5.5,100.0,79.0
12/16/2012 11:43:14,9.0,95.0,78.0
12/16/2012 11:58:39,8.0,83.0,70.0
12/16/2012 12:12:48,8.0,95.0,78.0
1/30/2013 9:47:38,5.0,70.0,82.0
1/30/2013 9:50:29,7.0,100.0,87.0
1/30/2013 9:59:38,7.0,95.0,73.0
1/30/2013 10:07:29,4.0,79.0,42.0
1/30/2013 10:09:12,6.0,95.0,86.0
1/30/2013 10:27:49,8.5,95.0,73.0
1/30/2013 10:37:09,6.0,95.0,86.0
1/30/2013 10:58:57,5.0,72.0,54.0
1/30/2013 10:59:54,8.0,87.0,61.0
1/30/2013 11:00:31,8.0,95.0,78.0
1/30/2013 11:04:16,7.0,95.0,82.0
1/30/2013 11:04:40,3.0,91.0,86.0
1/30/2013 11:04:48,5.0,92.0,68.0
1/30/2013 11:07:59,7.0,78.0,79.0
1/30/2013 11:14:06,6.0,87.0,71.0
1/30/2013 11:18:41,8.0,100.0,75.0
1/30/2013 11:39:52,6.5,79.0,89.0
1/30/2013 11:40:10,8.5,95.0,91.0
1/30/2013 11:55:13,11.0,80.0,83.0
1/30/2013 11:57:46,7.5,95.0,95.0
1/30/2013 12:00:13,7.0,100.0,87.0
1/30/2013 12:07:42,0.0,83.0,80.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/30/2013 12:20:54,6.0,75.0,72.0
1/30/2013 12:21:39,0.0,92.0,68.0
1/30/2013 12:23:08,7.0,24.0,22.0
1/30/2013 12:24:49,7.0,83.0,50.0
1/30/2013 12:27:46,0.0,68.0,68.0
1/30/2013 12:46:41,6.0,91.0,77.0
1/30/2013 12:52:48,7.0,76.0,78.0
1/30/2013 12:58:29,7.0,95.0,56.0
1/30/2013 12:59:42,5.5,79.0,94.0
1/30/2013 13:07:51,9.0,95.0,73.0
1/30/2013 13:14:15,7.5,91.0,86.0
1/30/2013 13:23:32,8.0,100.0,83.0
1/30/2013 13:25:17,7.0,50.0,83.0
1/30/2013 13:25:58,7.5,91.0,86.0
1/30/2013 13:28:09,7.0,100.0,95.0
1/30/2013 13:28:51,7.0,95.0,82.0
1/30/2013 13:28:51,8.5,95.0,78.0
1/30/2013 13:29:55,5.0,91.0,90.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/30/2013 13:51:17,6.5,95.0,60.0
1/30/2013 13:52:54,8.0,100.0,79.0
1/30/2013 13:56:24,8.0,87.0,85.0
1/30/2013 13:57:42,7.0,100.0,86.0
1/30/2013 14:01:29,6.5,87.0,76.0
1/30/2013 14:04:23,6.0,100.0,86.0
1/30/2013 14:06:00,7.0,95.0,86.0
1/30/2013 14:45:11,8.5,95.0,74.0
1/30/2013 14:55:01,8.0,75.0,83.0
1/30/2013 15:07:50,7.0,91.0,90.0
1/30/2013 15:19:17,8.0,10.0,10.0
1/30/2013 15:23:18,7.5,87.0,85.0
1/30/2013 15:27:37,7.5,95.0,78.0
1/30/2013 16:10:00,5.5,91.0,59.0
1/30/2013 16:48:20,7.5,100.0,87.0
1/30/2013 16:51:28,7.0,62.0,80.0
1/30/2013 17:06:20,5.5,87.0,76.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/30/2013 17:12:33,7.0,75.0,61.0
1/30/2013 17:50:46,10.0,85.0,66.0
1/30/2013 18:02:38,8.0,87.0,57.0
1/30/2013 18:26:37,7.5,91.0,77.0
1/30/2013 19:01:05,9.0,92.0,68.0
1/30/2013 19:13:09,6.0,70.0,70.0
1/30/2013 19:38:56,6.5,100.0,83.0
1/30/2013 19:45:10,8.5,79.0,63.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/30/2013 20:05:08,7.0,100.0,79.0
1/30/2013 20:11:42,6.5,79.0,68.0
1/30/2013 20:16:59,8.5,100.0,91.0
1/30/2013 20:22:07,4.5,91.0,77.0
1/30/2013 20:22:13,6.5,79.0,68.0
1/30/2013 20:42:55,6.0,95.0,78.0
1/30/2013 20:44:51,0.0,92.0,68.0
1/30/2013 20:45:07,0.0,92.0,68.0
1/30/2013 20:52:38,7.0,92.1062291249,78.4821208742
1/30/2013 21:05:02,0.0,100.0,83.0
1/30/2013 21:05:27,8.0,100.0,83.0
1/30/2013 21:09:50,7.0,91.0,81.0
1/30/2013 21:16:14,6.5,100.0,75.0
1/30/2013 21:21:59,3.5,92.0,68.0
1/30/2013 21:37:34,7.5,92.0,68.0
1/30/2013 21:38:15,8.0,95.0,91.0
1/30/2013 21:39:35,7.5,100.0,87.0
1/30/2013 22:09:46,6.0,100.0,95.0
1/30/2013 22:12:34,5.0,95.0,86.0
1/30/2013 22:23:17,12.0,91.0,95.0
1/30/2013 22:44:58,6.0,100.0,87.0
1/30/2013 22:49:55,7.0,79.0,84.0
1/30/2013 23:02:46,9.5,100.0,75.0
1/30/2013 23:19:33,8.5,87.0,80.0
1/30/2013 23:35:27,5.5,95.0,86.0
1/30/2013 23:39:17,10.0,79.0,78.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/31/2013 2:00:03,8.5,83.0,90.0
1/31/2013 2:32:08,5.5,92.0,68.0
1/31/2013 2:38:19,9.0,91.0,81.0
1/31/2013 3:00:43,6.0,70.0,64.0
1/31/2013 3:22:03,8.0,100.0,83.0
1/31/2013 3:29:10,8.0,91.0,90.0
1/31/2013 4:16:15,0.0,100.0,83.0
1/31/2013 4:23:12,8.0,100.0,75.0
1/31/2013 4:23:57,8.0,100.0,75.0
1/31/2013 4:32:54,7.0,95.0,86.0
1/31/2013 4:34:34,8.0,87.0,80.0
1/31/2013 4:46:32,8.5,91.0,86.0
1/31/2013 5:00:27,6.0,100.0,95.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/31/2013 5:44:49,11.0,92.0,77.0
1/31/2013 5:45:26,8.0,87.0,71.0
1/31/2013 5:45:41,0.0,100.0,87.0
1/31/2013 5:48:29,8.0,79.0,89.0
1/31/2013 5:49:58,7.5,91.0,72.0
1/31/2013 6:12:48,7.5,95.0,86.0
1/31/2013 7:03:43,5.0,15.0,25.0
1/31/2013 7:19:45,5.0,91.0,95.0
1/31/2013 7:33:10,5.5,100.0,87.0
1/31/2013 8:02:01,6.0,79.0,68.0
1/31/2013 8:12:53,7.5,79.0,73.0
1/31/2013 8:16:11,6.0,87.0,71.0
1/31/2013 8:17:36,8.0,95.0,91.0
1/31/2013 8:20:52,6.5,95.0,73.0
1/31/2013 8:25:33,7.0,80.0,70.0
1/31/2013 8:39:52,6.0,87.0,85.0
1/31/2013 9:12:45,8.0,70.0,70.0
1/31/2013 9:34:03,0.0,79.0,89.0
1/31/2013 9:34:22,8.5,79.0,89.0
1/31/2013 10:36:06,12.0,87.0,61.0
1/31/2013 10:39:30,7.5,100.0,79.0
1/31/2013 10:47:34,7.0,83.0,80.0
1/31/2013 10:50:10,10.0,95.0,43.0
1/31/2013 11:40:39,6.0,91.0,84.0
1/31/2013 11:48:06,8.0,92.0,68.0
1/31/2013 11:55:17,6.0,95.0,86.0
1/31/2013 12:08:04,8.0,100.0,83.0
1/31/2013 12:11:04,6.0,95.0,73.0
1/31/2013 12:11:25,9.0,75.0,92.0
1/31/2013 12:12:40,9.5,95.0,78.0
1/31/2013 12:23:32,8.0,91.0,78.0
1/31/2013 12:40:41,7.0,100.0,83.0
1/31/2013 13:10:00,8.0,100.0,91.0
1/31/2013 13:13:02,7.0,100.0,95.0
1/31/2013 13:26:56,8.0,92.0,86.0
1/31/2013 13:30:22,6.0,95.0,60.0
1/31/2013 13:39:55,9.0,100.0,100.0
1/31/2013 13:56:29,4.0,95.0,78.0
1/31/2013 14:47:08,5.0,100.0,91.0
1/31/2013 15:22:56,6.0,100.0,84.0
1/31/2013 15:29:58,0.0,100.0,87.0
1/31/2013 15:30:27,5.5,100.0,87.0
1/31/2013 16:02:40,7.0,92.0,87.0
1/31/2013 16:20:55,7.0,100.0,87.0
1/31/2013 16:29:19,8.0,91.0,77.0
1/31/2013 16:35:23,11.0,91.0,54.0
1/31/2013 16:41:06,7.0,87.0,85.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/31/2013 17:42:32,7.5,100.0,70.0
1/31/2013 17:56:41,7.5,91.0,81.0
1/31/2013 17:57:12,7.5,91.0,81.0
1/31/2013 17:57:27,7.5,91.0,81.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
92.1062291249,92.1062291249,92.1062291249,92.1062291249
1/31/2013 18:05:10,2.5,95.0,65.0
1/31/2013 18:09:14,6.5,83.0,70.0
1/31/2013 18:42:09,6.5,92.0,68.0
1/31/2013 18:53:55,6.5,83.0,70.0
1/31/2013 19:03:11,5.0,70.0,64.0
1/31/2013 19:23:20,8.5,100.0,83.0
1/31/2013 19:24:12,6.5,100.0,100.0
1/31/2013 19:25:14,8.0,100.0,87.0
1/31/2013 19:30:33,7.5,91.0,68.0
1/31/2013 19:45:53,6.5,95.0,69.0
1/31/2013 19:47:29,6.0,91.0,77.0
1/31/2013 20:10:16,6.0,91.0,86.0
1/31/2013 20:46:26,7.0,68.0,83.0
1/31/2013 21:27:54,6.5,91.0,95.0
1/31/2013 22:05:16,5.5,100.0,83.0
1/31/2013 22:29:04,7.0,65.0,85.0
1/31/2013 22:43:03,0.0,91.0,72.0
1/31/2013 22:48:55,6.0,100.0,91.0
1/31/2013 23:21:02,6.5,95.0,91.0
1/31/2013 23:47:50,7.0,91.0,63.0
2/1/2013 0:17:11,6.0,90.0,91.0
2/1/2013 0:17:14,6.5,83.0,90.0
2/1/2013 0:42:21,8.5,100.0,70.0
2/1/2013 0:55:58,6.5,100.0,87.0
2/1/2013 1:05:14,7.0,87.0,66.0
2/1/2013 1:11:24,5.0,95.0,82.0
92.1062291249,92.1062291249,92.1062291249,92.1062291249
2/1/2013 1:46:30,7.0,100.0,100.0
2/1/2013 2:07:30,8.0,87.0,68.0
2/1/2013 2:18:36,5.5,87.0,61.0
2/1/2013 2:27:17,6.0,79.0,63.0
2/1/2013 3:46:33,7.0,91.0,86.0
2/1/2013 5:24:32,7.0,100.0,79.0
2/1/2013 5:44:00,9.0,95.0,69.0
2/1/2013 6:19:22,8.5,91.0,68.0
2/1/2013 6:30:31,0.0,92.0,68.0
2/1/2013 7:23:33,7.5,95.0,69.0
2/1/2013 8:01:20,5.0,70.0,76.0
2/1/2013 9:21:22,6.5,100.0,87.0
2/1/2013 9:21:26,5.0,91.0,72.0
2/1/2013 9:21:42,7.0,100.0,75.0
2/1/2013 10:23:45,5.5,91.0,90.0
2/1/2013 10:29:57,7.0,8.0,8.0
2/1/2013 10:43:12,5.0,83.0,70.0
2/1/2013 11:03:59,4.0,100.0,95.0
