link|titulo
https://g1.globo.com/politica/noticia/2018/08/28/temer-decreta-uso-das-forcas-armadas-em-roraima-para-reforcar-seguranca.ghtml|Temer manda Forças Armadas para Roraima (Cesar Itiberê/PR)
https://g1.globo.com/economia/noticia/2018/08/28/preco-da-gasolina-praticado-pela-petrobras-nas-refinarias-se-aproxima-de-recorde.ghtml|Gasolina em refinarias tem 2ª maior alta
https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/28/dodge-opina-pela-aprovacao-da-candidatura-de-alckmin-e-da-coligacao-do-psdb-com-outros-8-partidos.ghtml|PGR opina por aprovar Alckmin candidato (Reprodução/TV Globo)
https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/28/candidatos-a-deputado-usam-anuncios-do-facebook-para-criticar-presidenciaveis.ghtml|Candidatos pagam post para criticar rivais
https://oglobo.globo.com/brasil/debate-entre-candidatos-ao-governo-do-rio-no-globo-marcado-por-propostas-timidas-muitas-acusacoes-23017732|RJ recebe debate de candidatos ao governo; reveja (Reprodução)
https://infograficos.oglobo.globo.com/brasil/raio-x-das-pesquisas-eleitorais-2018.html#/governador|Veja raio-X de pesquisas de intenção de voto 
https://globoesporte.globo.com/sp/santos-e-regiao/futebol/libertadores/jogo/28-08-2018/santos-independiente.ghtml|Independiente perde pênalti e Santos tem que golear; siga TR (Marcos Ribolli)
https://globoesporte.globo.com/sp/santos-e-regiao/futebol/times/santos/noticia/peres-diz-que-santos-tentara-paralisar-a-libertadores-por-decisao-do-caso-sanchez-foi-desmoralizada.ghtml|Santos tentará paralisar a Liberta: 'Foi desmoralizada'
https://globoesporte.globo.com/futebol/times/flamengo/noticia/decisivo-em-2018-everton-ribeiro-assume-protagonismo-e-se-candidata-a-heroi-da-missao-quase-impossivel.ghtml|E. Ribeiro é candidato a herói da missão (quase) impossível (divulgação)
https://globoesporte.globo.com/futebol/noticia/ferj-assume-custos-e-jogos-decisivos-do-carioca-2019-terao-var.ghtml|Ferj assume custos, e jogos decisivos do Carioca terão VAR (Estudiantes/Divulgação)
https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/galdino-ameaca-belmiro-para-que-nao-mude-depoimento-contra-luzia.ghtml|'Sol': Galdino ameaça Belmiro para que não mude depoimento (TV Globo)
https://extra.globo.com/tv-e-lazer/telinha/em-segundo-sol-beto-revela-que-esta-vivo-salva-luzia-e-preso-veja-as-fotos-23015489.html|Beto salva Luzia e vai preso
https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2018/08/segundo-sol-fatima-bernardes-fara-participacao-na-novela.html|Fátima Bernardes grava cena
https://gshow.globo.com/realities/the-voice-brasil/2018/noticia/descubra-quem-canta-na-2a-noite-de-the-voice-brasil-ao-vivo.ghtml|Descubra quem canta na 2ª noite ao vivo do 'The Voice Brasil' (Gshow)
https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/elmo-da-beijao-de-cinema-em-miss-celine-e-coronela-ve-tudo.ghtml|'O Tempo': Elmo dá beijão em Miss Celine, e Coronela vê tudo (Globo)
https://g1.globo.com/pop-arte/musica/noticia/2018/08/28/fas-de-aretha-franklin-prestam-homenagem-a-cantora-antes-de-funeral-em-detroit.ghtml|Fãs de Aretha Franklin prestam homenagens antes de funeral (Getty Images)
https://g1.globo.com/pr/parana/noticia/2018/08/28/empresario-atropela-carro-de-ladroes-e-escapa-de-assalto-no-litoral-do-parana-video.ghtml|Vídeo: assaltantes são surpreendidos por vítima e deixam carro (Reprodução)
https://oglobo.globo.com/rio/policia-prende-mais-um-suspeito-de-envolvimento-na-morte-de-corretora-na-barra-da-tijuca-23018335|Polícia do RJ prende 2º suspeito de participar de morte de corretora (Foto/Redes Sociais)
https://epocanegocios.globo.com/Brasil/noticia/2018/08/silenciosas-mortes-de-brasileiros-soterrados-em-armazens-de-graos.html|Levantamento aponta aumento de mortes no país soterrados em armazéns de grãos (Reprodução)
https://g1.globo.com/go/goias/noticia/2018/08/28/brinquedo-que-arremessou-4-adolescentes-em-parque-de-ceres-passa-por-nova-pericia.ghtml|Brinquedo que feriu 4 adolescentes em GO passa por nova perícia (Reprodução)
https://www.techtudo.com.br/noticias/2018/08/google-one-chega-ao-brasil-para-substituir-o-google-drive.ghtml|Google libera novo serviço na 'nuvem' e oferece recompensas ( (Foto: Divulgação/Google))
https://revistaquem.globo.com/QUEM-News/noticia/2018/08/dublador-de-chaves-e-pokemon-jose-parisi-jr-morre-em-sp.html|Corpo de José Parisi Jr., dublador de Chaves e Pokemón, será velado nesta terça em SP
https://g1.globo.com/pr/parana/noticia/2018/08/28/homem-que-ficou-por-quase-60-km-sobre-teto-de-onibus-passa-por-cirurgia-em-curitiba.ghtml|Homem que ficou 60 km sobre teto de ônibus é operado (Reprodução)
https://g1.globo.com/go/goias/noticia/2018/08/28/siamesas-separadas-ja-respiram-sem-ajuda-de-aparelhos-diz-hospital.ghtml|Siamesas separadas já respiram sem ajuda de aparelhos, diz hospital (Arquivo pessoal)
https://g1.globo.com/|mais notícias
https://sportv.globo.com/site/programas/bau-do-esporte/noticia/achei-internacional-na-espanha-euller-acompanha-os-filhos-atletas-de-perto.ghtml|Achei! Euller 'filho do vento' vive na Espanha com os filhos atletas (Sportv )
https://globoesporte.globo.com/sc/futebol/brasileirao-serie-b/jogo/28-08-2018/criciuma-guarani.ghtml|Criciúma recebe o Guarani pela Série B; acompanhe lances (Carlos Rauen/NSC TV)
https://globoesporte.globo.com/futebol/futebol-internacional/futebol-italiano/noticia/filho-de-cristiano-ronaldo-entra-nas-categorias-de-base-da-juventus.ghtml|Filho de CR7 começa a jogar nas categorias de base da Juventus (Reprodução / Twitter)
https://globoesporte.globo.com/futebol/times/corinthians/noticia/corinthians-relaciona-so-dois-goleiros-para-a-decisao-cassio-fica-ao-menos-no-banco.ghtml|Corinthians relaciona só dois goleiros para a decisão; Cássio fica ao menos no banco (Reprodução)
https://globoesporte.globo.com/futebol/times/vasco/noticia/voo-cedo-reuniao-e-apresentacao-valentim-encara-maratona-e-enfim-encontra-o-vasco.ghtml|Valentim encara maratona e, enfim, encontra o Vasco (Carlos Gregório Jr/Vasco)
https://globoesporte.globo.com/futebol/times/fluminense/noticia/medico-do-flu-diz-que-pedro-tem-chance-pequena-de-cirurgia-expectativa-e-de-volta-aos-treinos-em-duas-semanas.ghtml|Drama de Pedro: Flu diz que ainda há chance de cirurgia (ANDRÉ FABIANO/ESTADÃO CONTEÚDO)
https://sportv.globo.com/site/combate/noticia/mayweather-convida-mcgregor-para-treinar-boxe-em-sua-academia-em-vegas.ghtml|Após luta e troca de ofensas, Mayweather chama Conor para treinar em seu ginásio (Infográfico)
https://globoesporte.globo.com/natacao/noticia/em-possivel-ultima-prova-no-brasil-cielo-vence-os-50m-livre-e-vai-ao-mundial.ghtml|Última no Brasil? Cielo vence 50m livre e vai à China: 'Quem viu, viu' (Satiro Sodré / SSPress / CBDA)
https://globoesporte.globo.com/futebol/futebol-internacional/futebol-frances/noticia/daniel-alves-diz-que-usara-camisa-13-para-fazer-homenagem-a-zagallo.ghtml|Dani Alves abandona a 32 e faz homenagem a Zagallo: 'Admiração' (Reprodução/Instagram)
https://globoesporte.globo.com/|mais esportes
https://revistaquem.globo.com/QUEM-News/noticia/2018/08/xuxa-decide-se-mudar-e-coloca-sua-mansao-no-rio-de-janeiro-venda.html|Xuxa põe à venda mansão no Rio de 2.626 m² e seis suítes; fotos (Judice & Araujo Imóveis/Reprodução)
https://revistamarieclaire.globo.com/Celebridades/noticia/2018/08/marilia-mendonca-nunca-fui-rejeitada-por-ser-gorda.html|Marília Mendonça nega rejeição por peso e planeja pôr silicone (Reprodução/Instagram)
https://revistaquem.globo.com/Entrevista/noticia/2018/08/juliana-didone-fala-da-maternidade-real-e-selvagem-e-dificil-e-bonita-demais.html|Juliana Didone relata dores e delícias da maternidade real  (Luana Santos Fotografia/Divulgação)
http://multishow.globo.com/programas/musica-boa-ao-vivo/materias/tempo-real-acompanhe-volta-do-musica-boa-ao-vivo-com-iza-gilberto-gil-anavitoria-e-natiruts.htm|Acompanhe a volta do Música Boa Ao Vivo com Iza, Gilberto Gil, Anavitória e Natiruts (Reprodução/Instagram)
https://vogue.globo.com/beleza/gente/noticia/2018/08/indireta-mariana-goldfarb-faz-desabafo-no-instagram-deus-ta-vendo.html|Indireta? Goldfarb faz post e web aposta que foi para o ex Cauã (Reprodução/ Instagram)
https://revistaquem.globo.com/QUEM-News/noticia/2018/08/com-novo-visual-sophie-charlotte-circula-por-aeroporto-com-daniel-de-oliveira.html|Com novo look, Sophie Charlotte aparece em aeroporto com Daniel (WEBERT BELICIO / AGNEWS)
https://vogue.globo.com/moda/moda-news/noticia/2018/08/bruna-marquezine-curiosidade-entrevista-beleza-puma-corpo-futuro.html|'Acaba com meu dia saber que alguém está mentindo para mim', conta Marquezine (Reprodução/Instagram)
https://revistaglamour.globo.com/Celebridades/noticia/2018/08/neymar-tranquiliza-fas-apos-deixar-de-seguir-marquezine-calma-gente.html|Neymar tranquiliza fãs após deixar de seguir  Bruna sem querer (Reprodução)
https://gshow.globo.com/programas/encontro-com-fatima-bernardes/noticia/paula-burlamaqui-diz-que-teve-sorte-no-inicio-da-carreira-eu-tava-na-praia-e-passou-um-cara-que-mudou-minha-vida.ghtml|Burlamaqui fala de sorte: 'Um cara passou e mudou minha vida' (TV Globo)
https://gshow.globo.com/|mais variedades
