titulo,link
"'Após incêndio, BNDES anuncia R$ 25 milhões para obras de museus'",'https://oglobo.globo.com/rio/apos-criticas-sobre-falta-de-repasses-federais-bndes-vai-lancar-edital-de-25-mi-para-apoio-museus-23037830'
'Crânio é achado nos escombros do Museu no RJ (Carl de Souza/AFP)','https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/04/bombeiros-encontram-cranio-em-meio-aos-escombros-do-museu-nacional1.ghtml'
'Besouros achados em varanda são do museu ','https://extra.globo.com/noticias/rio/besouros-encontrados-na-tijuca-sao-do-acervo-do-museu-nacional-diz-pesquisadora-23037396.html'
'Equipes agem no Museu em meio a desabamentos (Fernanda Rouvenat / G1)','https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/04/equipes-trabalham-para-salvar-pecas-do-acervo-do-museu-nacional-desabamentos-ainda-ocorrem-na-area-interna.ghtml'
'Prédio do Museu não tem seguro e brigada','https://g1.globo.com/rj/rio-de-janeiro/noticia/2018/09/04/predio-do-museu-nacional-nao-tem-seguro-e-brigada-de-incendio.ghtml'
'Veja o que é fato e fake na fala de Geraldo Alckmin (Marcelo Brandt/G1)','https://g1.globo.com/fato-ou-fake/noticia/2018/09/04/veja-o-que-e-fato-ou-fake-na-entrevista-de-geraldo-alckmin-ao-g1-e-a-cbn.ghtml'
'Veja como foi entrevista de Alckmin a G1 e CBN','https://g1.globo.com/politica/eleicoes/2018/noticia/2018/09/04/alckmin-propoe-reduzir-ir-para-empresas-e-diz-que-nao-fara-campanha-com-aecio.ghtml'
'MP-SP denuncia Haddad por corrupção ','https://g1.globo.com/sp/sao-paulo/noticia/2018/09/04/mp-denuncia-haddad-por-corrupcao-e-lavagem-de-dinheiro-em-suposto-pagamento-de-divida-de-campanha.ghtml'
'Fachin autoriza abrir 3 inquéritos contra Marun ','https://g1.globo.com/politica/noticia/2018/09/04/fachin-autoriza-abertura-de-3-inqueritos-para-investigar-marun-e-7-parlamentares-na-registro-espurio.ghtml'
'Leilão da casa de R$ 8 mi de Cabral fica sem lances','https://oglobo.globo.com/brasil/primeiro-leilao-da-mansao-de-cabral-em-mangaratiba-termina-sem-lances-23038413'
'Dinamarca convoca jogadores da 3ª e 4ª divisões após boicote (Richard Heathcote / Staff)','https://globoesporte.globo.com/futebol/futebol-internacional/noticia/dinamarca-convoca-apenas-jogadores-de-terceira-e-quarta-divisoes-para-amistoso.ghtml'
'Palmeiras tentará eliminar 'agressão' de Felipe Melo na defesa (Renato Pizzutto/BP Filmes)','https://globoesporte.globo.com/futebol/times/palmeiras/noticia/a-espera-de-punicao-palmeiras-tentara-desqualificar-agressao-de-felipe-melo.ghtml'
'Fla não terá Réver contra o Inter para não pagar R$1 milhão (Amanda Kestelman/GloboEsporte.com)','https://extra.globo.com/esporte/flamengo/rever-mais-um-desfalque-do-flamengo-para-jogo-contra-internacional-23038124.html'
''Sol': novo dono da mansão surpreende (TV Globo)','https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/roberval-compra-a-mansao-de-severo-e-humilha-a-familia-athayde.ghtml'
'Teste seu 'humor' de Rosa','http://especiaiss3.gshow.globo.com/gshow/tv/rapidinhas/pb/este-teste-vai-te-dizer-qual-humor-da-rosa-de-segundo-sol-te-representa.html'
'Xavier batiza vinho de Susana em 'Orgulho' (divulgação)','https://gshow.globo.com/novelas/orgulho-e-paixao/vem-por-ai/noticia/xavier-batiza-a-bebida-de-susana.ghtml'
'Veja bastidores da reta final','https://kogut.oglobo.globo.com/noticias-da-tv/novelas/fotos/2018/09/orgulho-e-paixao-darcy-vai-inaugurar-ferrovia-veja-bastidores-da-reta-final-da-novela.html'
''Tempo': Marocas põe Betina só de toalha para fora de prédio (TV Globo)','https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/marocas-expulsa-betina-so-de-toalha-da-casa-de-samuca.ghtml'
"'Aos 40, apresentadora posta que irá morrer em alguns dias (BBC)'",'https://g1.globo.com/mundo/noticia/2018/09/04/apresentadora-da-bbc-anuncia-nas-redes-sociais-que-tem-poucos-dias-de-vida-apos-luta-contra-o-cancer.ghtml'
'Mulher que ostentava na web após roubar bancos pega 5 anos (Reprodução / Facebook)','https://g1.globo.com/mt/mato-grosso/noticia/2018/09/04/juiz-condena-jovem-que-ostentava-na-web-e-que-recebia-bolsa-familia-a-5-anos-de-prisao-por-assaltos-a-bancos.ghtml'
"'Morto aos 33 anos na Inglaterra, rapper deixa oito filhos (Instagram)'",'https://revistamonet.globo.com/Celebridades/noticia/2018/09/rapper-e-assassinado-na-inglaterra-e-deixa-oito-filhos.html'
"'Bebê morre em hospital no interior de SP após ser agredido pelo pai, diz a polícia (Reprodução)'",'https://g1.globo.com/sp/mogi-das-cruzes-suzano/noticia/2018/09/04/bebe-morre-em-hospital-em-itaquaquecetuba-depois-de-ser-agredido-pelo-pai-diz-policia.ghtml'
'Navio bate até em ponte em tufão com mortos no Japão (Jiji Press/AFP)','https://g1.globo.com/mundo/noticia/2018/09/04/tufao-jebi-fecha-aeroporto-e-faz-petroleiro-colidir-com-ponte-no-japao.ghtml'
'iPhone 7 Plus e outros smarts famosos estão mais baratos no Brasil (Carol Ochsendorf/TechTudo)','https://www.techtudo.com.br/listas/2018/09/iphone-7-plus-e-outros-celulares-em-promocao-no-compare-techtudo.ghtml'
"'Em três meses, caçadores matam 90 elefantes com mais de 35 anos na África (Reprodução/Facebook)'",'https://g1.globo.com/natureza/noticia/2018/09/04/cacadores-mataram-ao-menos-90-elefantes-em-botsuana-diz-ong.ghtml'
