Titulo,Link
['TSE divulga tempo dos 13 presidenciáveis na propaganda eleitoral'],['https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/23/tse-apresenta-previsao-do-tempo-de-propaganda-no-radio-e-na-tv-para-cada-candidato-a-presidencia.ghtml']
"['Cármen Lúcia: instituições funcionam no país, mas com deficiências']",['https://g1.globo.com/politica/noticia/2018/08/23/carmen-lucia-diz-que-instituicoes-democraticas-funcionam-no-brasil-mas-com-deficiencias.ghtml']
['Lula é intimado a defender em 7 dias candidatura'],['https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/23/intimado-pelo-tse-lula-tem-ate-dia-30-para-apresentar-defesa-da-candidatura-a-presidencia.ghtml']
"['Pesquisa: PT tem simpatia de 24%; PSDB e MDB, 4%']",['https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/23/pesquisa-datafolha-pt-tem-24-da-preferencia-do-eleitorado-psdb-e-mdb-empatam-com-4.ghtml']
['Julgamento de Bolsonaro no STF é antecipado (Reprodução)'],['https://oglobo.globo.com/brasil/ministro-do-stf-aceita-pedido-da-defesa-de-bolsonaro-antecipa-julgamento-de-denuncia-de-racismo-23004715']
['Bolsonaro diz que veta verba a direito humano (Reprodução/TV TEM)'],['https://g1.globo.com/sp/sao-jose-do-rio-preto-aracatuba/noticia/2018/08/23/bolsonaro-diz-que-bandidagem-vai-morrer-em-seu-governo-porque-uniao-nao-repassara-recursos-para-direitos-humanos.ghtml']
['Alckmin reúne líderes de igreja na Z. Leste'],['https://g1.globo.com/sp/sao-paulo/eleicoes/2018/noticia/2018/08/23/alckmin-participa-de-encontra-com-lideres-de-igreja-em-sao-paulo.ghtml']
"[""Ciro ironiza fala de rival: 'Não aguenta brincar' (Fernanda Calgaro, G1)""]",['https://g1.globo.com/politica/eleicoes/2018/noticia/2018/08/23/ciro-gomes-diz-ser-favoravel-a-criminalizacao-do-caixa-2-eleitoral.ghtml']
['Marina assina termo para primeira infância'],['https://g1.globo.com/df/distrito-federal/eleicoes/2018/noticia/2018/08/23/em-campanha-no-df-marina-silva-assina-compromisso-de-politicas-para-a-primeira-infancia.ghtml']
"[""Meirelles se põe na web como 'candidato geek' (Reprodução)""]",['https://oglobo.globo.com/brasil/nas-redes-equipe-de-campanha-lanca-meirelles-candidato-geek-23004186']
['A. Dias quer aumentar faixa de isenção do IR'],['https://g1.globo.com/sp/sao-paulo/eleicoes/2018/noticia/2018/08/23/alvaro-dias-diz-que-pretende-tornar-lava-jato-uma-politica-de-estado.ghtml']
['Volante da Chape pega dois anos de suspensão por doping (Sirli Freitas/Chapecoense)'],['https://globoesporte.globo.com/sc/futebol/times/chapecoense/noticia/moises-ribeiro-e-suspenso-por-dois-anos-por-doping-na-libertadores.ghtml']
['Guerrero só volta a jogar em abril; GE explica a reviravolta (Tomás Hammes/GloboEsporte.com)'],['https://globoesporte.globo.com/rs/futebol/times/internacional/noticia/contrato-com-inter-possivel-recurso-prazos-para-voltar-veja-faqs-do-caso-guerrero.ghtml']
"[""Torcida do Fla 'comemora' suspensão de liminar""]",['https://extra.globo.com/esporte/torcedores-do-flamengo-comemoram-suspensao-da-liminar-de-guerrero-23003655.html']
"[""'Inter e São Paulo são obrigados a brigar por título', cutuca Renato (Eduardo Moura)""]",['https://globoesporte.globo.com/rs/futebol/times/gremio/noticia/renato-cita-foco-unico-e-diz-que-sao-paulo-e-inter-tem-obrigacao-de-lutar-pelo-titulo-brasileiro.ghtml']
"[""'Segundo Sol': Laureta entrega ao delegado paradeiro de Luzia (TV Globo)""]",['https://gshow.globo.com/novelas/segundo-sol/vem-por-ai/noticia/laureta-entrega-paradeiro-de-luzia-a-viana.ghtml']
"[""'Me filma/edita' e mais pérolas""]",['https://gshow.globo.com/novelas/segundo-sol/noticia/frases-de-laureta-veja-pilulas-de-sabedoria-da-vila-que-amamos-odiar.ghtml']
"[""Sabino insiste no dote por noiva em 'Tempo' (Globo)""]",['https://gshow.globo.com/novelas/o-tempo-nao-para/vem-por-ai/noticia/dom-sabino-e-carmen-nao-se-acertam-sobre-o-casamento-dos-filhos.ghtml']
['Helen desperta e rapta Bento'],['https://extra.globo.com/tv-e-lazer/telinha/o-tempo-nao-para-helen-descongela-bento-sequestra-ele-acorda-na-casa-dela-23002727.html']
"['Marocas agride, e Bento apaga']",['https://kogut.oglobo.globo.com/noticias-da-tv/novelas/noticia/2018/08/o-tempo-nao-para-marocas-dara-um-soco-em-bento.html']
"[""'The Voice' inicia nova fase hoje; cadastre-se e vote no 'Tira-Teima'""]",['https://gshow.globo.com/realities/the-voice-brasil/2018/noticia/tira-teima-fase-do-the-voice-brasil-tem-participacao-do-publico-em-votacao.ghtml']
['Criança faz bilhete em nome da professora para não ir à escola (Reprodução/Facebook)'],['https://g1.globo.com/sp/bauru-marilia/noticia/2018/08/23/menino-de-5-anos-manda-bilhete-em-nome-da-professora-para-nao-ir-a-escola-pode-ser-feriado.ghtml']
"['Com câncer incurável, jovem escreve cartas para filha ler no futuro (Arquivo pessoal)']",['https://revistacrescer.globo.com/Curiosidades/noticia/2018/08/mae-de-27-anos-em-estado-terminal-escreve-cartas-para-filha-de-um-ano-ler-em-momentos-importantes.html']
['Acusado de matar namorada é expulso de universidade no PR (Reprodução/Facebook)'],['https://g1.globo.com/pr/campos-gerais-sul/noticia/2018/08/23/uepg-expulsa-aluno-acusado-de-matar-a-namorada-a-facadas-em-ponta-grossa.ghtml']
"['Com mandado de prisão em aberto, pai foge de blitz e larga filhos de 2 e 6 anos (Divulgação / Disque Denúncia)']",['https://g1.globo.com/mg/centro-oeste/noticia/2018/08/23/condutor-abandona-carro-e-filhos-para-fugir-de-blitz-na-br-262-proximo-a-bom-despacho.ghtml']
['Baleia passa raspando em barco de turistas; vídeo flagra o salto  (Reprodução)'],['https://extra.globo.com/noticias/page-not-found/baleia-salta-quase-atinge-barco-com-turistas-rv1-1-23003838.html']
"[""Usuários pagam para 'aparecer' em vídeos pornôs; entenda (Reprodução/Naughty America)""]",['https://www.techtudo.com.br/noticias/2018/08/empresa-usa-tecnologia-deepfake-para-incluir-os-clientes-em-filme-porno.ghtml']
['Jovem inglesa contrai doença que come a pele dos órgãos genitais; entenda o caso (Reprodução)'],['https://revistagalileu.globo.com/Ciencia/noticia/2018/08/mulher-contrai-doenca-rara-que-come-pele-dos-orgaos-genitais.html']
['MP denuncia duas técnicas por morte de bebê após injeção (Reprodução/Acervo pessoal)'],['https://g1.globo.com/pe/pernambuco/noticia/2018/08/23/mppe-denuncia-tecnicas-de-enfermagem-por-morte-de-crianca-de-um-ano-no-grande-recife.ghtml']
"[""Trump: 'Se eu sofrer um impeachment, o mercado vai desabar' (Leah Millis/Reuters)""]",['https://oglobo.globo.com/mundo/trump-se-eu-sofrer-impeachment-mercado-vai-desabar-23003792']
['mais notícias'],['https://g1.globo.com/']
